kind,case,bytes,chunks,events,validation,current_ns,current_ns_min,current_ns_max,current_mib_s,published_ns,published_ns_min,published_ns_max,published_mib_s,core_ns,core_ns_min,core_ns_max,core_mib_s,speedup_vs_published,speedup_vs_published_min,speedup_vs_published_max,time_change_vs_published_pct,consistency_vs_published,speedup_vs_core,speedup_vs_core_min,speedup_vs_core_max,time_change_vs_core_pct,consistency_vs_core
decode,small_data_whole_stream_chunk,1700000,1,100000,all_three_match_reference,4072466.185714286,3921978.982142856,4333305.796428573,398.09939824123256,5042535.54375,4749361.10625,5235736.8125,321.5141120621526,3474021.903125,3384656.4214285715,3791080.304166667,466.67706281076096,1.2856427957256773,1.0960133739382831,1.2857120261758528,-22.217897278726404,all_rounds_faster_over_3pct,0.8629970830642476,0.8530511352829508,0.8748702450889115,15.875246814194966,all_rounds_slower_over_3pct
decode,small_data_tcp_chunks,1700000,1165,100000,all_three_match_reference,4013113.8928571427,3988142.707142857,4346445.060714287,403.98712350931464,5195700.574999999,5192111.720833335,5812142.11,312.03613728079876,3506788.45,3461581.6642857143,3788076.2107142867,462.31655003044875,1.3027870255731766,1.2937862865229581,1.3372174337445424,-23.241483038254994,all_rounds_faster_over_3pct,0.8715343591831255,0.8679683548148718,0.8738322767867763,14.740169387846414,all_rounds_slower_over_3pct
decode,small_data_event_chunks,1700000,100000,100000,all_three_match_reference,4629234.2375,4558815.437500002,4908079.97,350.2191193431968,6142963.084999999,5834544.01875,6459725.45625,263.9192707912269,4675899.420833332,4582681.545833335,4985953.920833334,346.7239544689968,1.3161410359517838,1.2603691494991023,1.3474910685063233,-24.020300812455297,all_rounds_faster_over_3pct,1.0158664796232597,0.9899437597498187,1.0256829838668657,-1.5618666371533418,all_rounds_within_3pct
decode,small_data_4b_chunks,1700000,425000,100000,all_three_match_reference,11062468.591666667,10761987.216666667,11088191.05833333,146.5537573694814,15999935.6,15694852.2875,17096340.8375,101.32830396458752,9955116.574999997,9210133.675,10721035.608333332,162.85558543453072,1.4583600566997514,1.442970770960449,1.545436327871578,-31.429827949142673,all_rounds_faster_over_3pct,0.8999000984734243,0.855802324382678,0.9668877053012122,11.123446002104398,all_rounds_slower_over_3pct
decode,metadata_events_tcp_chunks,2088890,1431,50000,all_three_match_reference,4787707.1375,4502602.517857144,5562471.305000001,416.09076862585175,8079967.11875,7422238.825,9868620.283333331,246.55060020913052,5161716.341666667,5118183.220833335,5348285.3,385.9415378402246,1.7741431357070758,1.5502700169074408,1.794510416299278,-43.63476205083898,all_rounds_faster_over_3pct,1.0781186470737145,0.9614944521498074,1.136716643437839,-7.245830251220331,mixed_or_near_boundary
decode,multiline_data_tcp_chunks,1900000,1302,50000,all_three_match_reference,2972800.4083333337,2859096.271875,3100198.2611111114,609.5199651118661,4673922.441666666,4422020.466666668,5058924.800000003,387.6789193202238,3141810.4722222215,3084604.840625,3452624.15625,576.7315429088407,1.5466497264069738,1.5076204965006117,1.7017371182467749,-35.34411942624509,all_rounds_faster_over_3pct,1.0988823647277246,1.0376091284091111,1.113678502294424,-8.998448596654395,all_rounds_faster_over_3pct
decode,keepalive_whole_stream_chunk,2600000,1,0,all_three_match_reference,1030346.8467694711,999929.8647632541,1032235.8853544814,2406.522842701554,2235839.0291474387,2203793.712879689,2353780.4004860977,1109.003461488792,1164314.688889657,1155647.9881910451,1191132.5487774636,2129.6246163662713,2.2039482873145957,2.166015598633859,2.2844544124787625,-54.626884589091176,all_rounds_faster_over_3pct,1.1560500743144086,1.1195580434545565,1.164396354103618,-13.498556661306694,all_rounds_faster_over_3pct
decode,keepalive_tcp_chunks,2600000,1781,0,all_three_match_reference,1050914.5207257038,1024619.645097174,1138527.0803135415,2359.424266917548,2126232.5140917283,2086350.1102603183,2135766.4347112468,1166.1721877653872,1227907.2978837837,1221209.4743088349,1276020.548349975,2019.332588811545,2.0232211775163873,1.8759030607537885,2.0362191182294294,-50.573866509861574,all_rounds_faster_over_3pct,1.162044533808073,1.0785051309852267,1.2453602216742177,-13.94477828461923,all_rounds_faster_over_3pct
decode,keepalive_line_chunks,2600000,200000,0,all_three_match_reference,3595340.564285713,3536927.909375,3639626.403125,689.6573991590317,7456607.2625,7121582.9,7565056.64375,332.53102052540214,3330724.1125,3220195.805555556,3445736.6,744.4486961110473,2.0739641013622325,1.9566796454398112,2.1388778164513957,-51.78315770542149,all_rounds_faster_over_3pct,0.9416997456101848,0.8847599860223788,0.9583894872792296,6.190959980778055,all_rounds_slower_over_3pct
decode,keepalive_4b_chunks,2600000,650000,0,all_three_match_reference,10948063.341666667,10281939.8,11464034.866666667,226.4832733675779,22001702.125,21995540.7125,22193129.9625,112.6982452797956,9925593.041666666,9686219.699999997,12284230.875000002,249.81411309604664,2.0271283851671114,1.9191935806975884,2.1392403710144263,-50.66913337521232,all_rounds_faster_over_3pct,0.9420615067207451,0.8658027611662938,1.1220460177872815,6.150181582191494,mixed_or_near_boundary
decode,large_data_event_chunks,2561408,64,64,all_three_match_reference,82533.56075027658,81139.60327676922,101248.63168389339,29597.039086058263,878379.0828935917,856353.0727061194,879870.0820401225,2780.9735807807465,99957.17141782011,95550.97875044002,110810.4134868145,24437.95666472824,10.55407024588323,8.690192325632111,10.642689772604392,-90.52498252614848,all_rounds_faster_over_3pct,1.1577227237238739,0.9872446644997107,1.3656760572126216,-13.623531826044733,mixed_or_near_boundary
decode,large_data_tcp_chunks,2561408,1755,64,all_three_match_reference,131398.07512997807,125720.65521069798,139064.1498059378,18590.447546671818,1045180.6904971566,1017979.0935362777,1061941.8510946443,2337.1547576865087,138178.31088602313,135001.8553291737,141313.3971940151,17678.237689939706,7.74729076152219,7.636345187286373,8.313516094435839,-87.09226191733225,all_rounds_faster_over_3pct,1.0274264306812013,0.9936299979459059,1.1240268908651876,-2.6694301277627397,mixed_or_near_boundary
decode,medium_data_10b_chunks,1054208,105421,256,all_three_match_reference,1793626.6748740408,1759335.112384721,1876410.0301863768,560.5241647181698,3467373.996875,3347536.4875,3540465.5321428566,289.95173138406733,1824943.774594598,1788113.889585187,1898537.9845462132,550.9052430797974,1.9027281749424783,1.8478764987898721,1.9739144057898723,-47.44388540784439,all_rounds_faster_over_3pct,1.0117927073527946,0.996926458908044,1.0372917369454115,-1.1655260279201274,mixed_or_near_boundary
decode,json_line_tcp,2440000,1672,20000,all_three_match_reference,1099171.4769729746,1098786.2139840557,1103356.7099357322,2117.017572580682,1578333.9287545898,1549042.4066618967,1717409.0458206553,1474.3175000155893,826986.5949237732,795143.0486610407,886483.8673330344,2813.788453542873,1.430483826800241,1.4092818446561484,1.563005636550129,-30.093582236659266,all_rounds_faster_over_3pct,0.752636485968665,0.7206581892336122,0.8065018842868231,32.866266603189054,all_rounds_slower_over_3pct
decode,json_metadata_after_tcp,2720000,1864,20000,all_three_match_reference,1622414.742627252,1555487.4681893263,1657562.563674931,1598.8477375547168,2182392.833223753,2096022.7700358226,2226832.63285385,1188.600925156652,1760655.9145384268,1645002.95904782,1789283.620390239,1473.3112354352559,1.3475021900856001,1.3166277286000216,1.3725421585160376,-25.78861783248939,all_rounds_faster_over_3pct,1.0621957524396128,1.057548191604973,1.1028521705200782,-5.85539457268246,all_rounds_faster_over_3pct
decode,json_crlf_tcp,3100000,2124,20000,all_three_match_reference,2342741.986365908,2297415.401311237,2363465.8392626615,1261.935969929564,2884228.809375,2871940.492857142,3158395.455555556,1025.019364361738,2433959.7700000005,2319199.9970874214,2523787.2299999995,1214.6422538690417,1.2500745364630175,1.2311337851800974,1.3363406413950503,-20.00477004919905,all_rounds_faster_over_3pct,1.0594339049920323,0.989951096016764,1.0678331745160126,-5.609968183194891,mixed_or_near_boundary
decode,large_utf8_tcp,2561024,1755,64,all_three_match_reference,231396.67589883617,223827.7332935302,250786.87305346347,10554.96066662505,1963772.7645412746,1857677.9474698864,2010419.68885834,1243.7196688948509,1002911.7800369936,974481.1617020972,1078685.311972893,2435.2917785150653,8.299587902423632,8.016447050758327,8.486607497334198,-87.95120900270264,all_rounds_faster_over_3pct,4.334166755599611,4.301203244170343,4.353710540526055,-76.92751441305228,all_rounds_faster_over_3pct
decode,large_utf8_event,2561024,64,64,all_three_match_reference,188006.89597449126,178213.08272929428,194421.76096602657,12990.921422538577,1676547.9546847667,1672822.615181496,1681696.4747508236,1456.7926945813067,999073.2701710875,988442.3103691244,1048064.1299738539,2444.6483410388423,8.917481170011127,8.649733786974004,9.386643166498128,-88.78607107842367,all_rounds_faster_over_3pct,5.390672961536407,5.257479015574174,5.606060199792851,-81.44944041059044,all_rounds_faster_over_3pct
decode,large_json_utf8_tcp,2561728,1755,64,all_three_match_reference,244554.671700373,218972.36139493837,273677.4486807231,9989.80793224006,1994583.9581746073,1935865.2687711585,2125092.5805555554,1224.844002783704,1083571.4954417334,1029674.950949835,1086130.8986335201,2254.6312905940777,8.155983871853245,7.764953198736976,8.84068316402559,-87.7390635426456,all_rounds_faster_over_3pct,4.4412600711396,3.9593013624803515,4.702305553040615,-77.4838675515031,all_rounds_faster_over_3pct
decode,large_json_escaped_tcp,2561728,1755,64,all_three_match_reference,132231.86673963387,126067.97380806688,136725.9053827119,18475.53286099449,1055892.3987854973,1009127.8079025459,1084638.95749905,2313.7340528530995,143591.5858437211,128630.08662243262,148882.29556952076,17013.90917067846,7.985158379897654,7.932944049359322,8.004632559883131,-87.4767668664223,all_rounds_faster_over_3pct,1.085907575716636,1.0203232647989287,1.088910657806812,-7.911131447806885,mixed_or_near_boundary
