group,scenario,variant,round,iterations,total_ns,ns_per_iteration,events
decode,progress_data_event,simd,21,16,2830287,176892.9375,3000
decode,progress_data_event,combined,21,19,3145895,165573.42105263157,3000
decode,progress_data_event,baseline,21,15,2663543,177569.53333333333,3000
decode,progress_data_event,fused,21,18,2947635,163757.5,3000
decode,progress_data_event,core,21,19,2823545,148607.63157894736,3000
decode,progress_data_event,simd,22,16,3230971,201935.6875,3000
decode,progress_data_event,combined,22,19,3463768,182303.57894736843,3000
decode,progress_data_event,core,22,19,3439386,181020.31578947368,3000
decode,progress_data_event,baseline,22,15,3161987,210799.13333333333,3000
decode,progress_data_event,fused,22,18,3583261,199070.05555555556,3000
decode,progress_data_event,combined,23,19,3316175,174535.52631578947,3000
decode,progress_data_event,core,23,19,3402694,179089.15789473685,3000
decode,progress_data_event,baseline,23,15,3195230,213015.33333333334,3000
decode,progress_data_event,simd,23,16,3343931,208995.6875,3000
decode,progress_data_event,fused,23,18,3543598,196866.55555555556,3000
decode,progress_data_event,fused,24,18,3653238,202957.66666666666,3000
decode,progress_data_event,core,24,19,3723708,195984.63157894736,3000
decode,progress_data_event,baseline,24,15,3454050,230270,3000
decode,progress_data_event,combined,24,19,3792475,199603.94736842104,3000
decode,progress_data_event,simd,24,16,3414116,213382.25,3000
decode,progress_data_event,fused,25,18,4047738,224874.33333333334,3000
decode,progress_data_event,combined,25,19,3809005,200473.94736842104,3000
decode,progress_data_event,core,25,19,3423081,180162.15789473685,3000
decode,progress_data_event,simd,25,16,3454207,215887.9375,3000
decode,progress_data_event,baseline,25,15,3220205,214680.33333333334,3000
decode,progress_data_event,baseline,26,15,3322289,221485.93333333332,3000
decode,progress_data_event,simd,26,16,3424346,214021.625,3000
decode,progress_data_event,fused,26,18,3941926,218995.88888888888,3000
decode,progress_data_event,core,26,19,3605277,189751.42105263157,3000
decode,progress_data_event,combined,26,19,3274346,172334,3000
decode,progress_data_event,core,27,19,3512219,184853.63157894736,3000
decode,progress_data_event,fused,27,18,3473458,192969.88888888888,3000
decode,progress_data_event,baseline,27,15,3217617,214507.8,3000
decode,progress_data_event,combined,27,19,3214484,169183.36842105264,3000
decode,progress_data_event,simd,27,16,3259746,203734.125,3000
decode,progress_data_event,fused,28,18,3382190,187899.44444444444,3000
decode,progress_data_event,combined,28,19,3128466,164656.1052631579,3000
decode,progress_data_event,simd,28,16,3231258,201953.625,3000
decode,progress_data_event,baseline,28,15,3329578,221971.86666666667,3000
decode,progress_data_event,core,28,19,2808622,147822.2105263158,3000
decode,progress_data_event,simd,29,16,2865148,179071.75,3000
decode,progress_data_event,core,29,19,2816279,148225.2105263158,3000
decode,progress_data_event,fused,29,18,2943059,163503.27777777778,3000
decode,progress_data_event,combined,29,19,2924300,153910.52631578947,3000
decode,progress_data_event,baseline,29,15,2704008,180267.2,3000
decode,progress_data_event,combined,30,19,3052336,160649.26315789475,3000
decode,progress_data_event,core,30,19,2844120,149690.52631578947,3000
decode,progress_data_event,simd,30,16,2874124,179632.75,3000
decode,progress_data_event,fused,30,18,2963988,164666,3000
decode,progress_data_event,baseline,30,15,2656931,177128.73333333334,3000
decode_json,progress_data_event,baseline,0,1,2894250,2894250,3000
decode_json,progress_data_event,core,0,1,2904721,2904721,3000
decode_json,progress_data_event,combined,0,1,2889708,2889708,3000
decode_json,progress_data_event,fused,0,1,2910572,2910572,3000
decode_json,progress_data_event,json_only,0,1,2717481,2717481,3000
decode_json,progress_data_event,simd,0,1,2931406,2931406,3000
decode_json,progress_data_event,combined,1,1,2884814,2884814,3000
decode_json,progress_data_event,simd,1,1,2907016,2907016,3000
decode_json,progress_data_event,baseline,1,1,2884913,2884913,3000
decode_json,progress_data_event,json_only,1,1,2727474,2727474,3000
decode_json,progress_data_event,core,1,1,2878850,2878850,3000
decode_json,progress_data_event,fused,1,1,2901397,2901397,3000
decode_json,progress_data_event,core,2,1,2944578,2944578,3000
decode_json,progress_data_event,simd,2,1,2893056,2893056,3000
decode_json,progress_data_event,combined,2,1,2870256,2870256,3000
decode_json,progress_data_event,json_only,2,1,2707112,2707112,3000
decode_json,progress_data_event,fused,2,1,2899124,2899124,3000
decode_json,progress_data_event,baseline,2,1,2903623,2903623,3000
decode_json,progress_data_event,baseline,3,1,2924532,2924532,3000
decode_json,progress_data_event,json_only,3,1,2715414,2715414,3000
decode_json,progress_data_event,combined,3,1,2874265,2874265,3000
decode_json,progress_data_event,fused,3,1,2864290,2864290,3000
