group,scenario,variant,rounds,ratio_median,ratio_p10,ratio_p90,ns_per_event_median
decode,ascii_id_after_1460,baseline,31,1.0,1.0,1.0,2815.9022177419356
decode,ascii_id_after_1460,combined,31,0.7174520667680218,0.6863876707164506,0.8463461529240242,2035.7796474358975
decode,ascii_id_after_1460,core,31,0.8664830092183341,0.8314934477266146,0.9882283870495576,2472.0842013888887
decode,ascii_id_after_1460,fused,31,1.0038321873047555,0.9342821661917105,1.108790741462552,2836.0050403225805
decode,ascii_id_after_1460,simd,31,0.8731342081938054,0.8384802576746984,0.9428322561312766,2478.6636513157896
decode,base64_id_after_1460,baseline,31,1.0,1.0,1.0,2995.5291666666667
decode,base64_id_after_1460,combined,31,0.7087563495521704,0.6683199020925418,0.7404812047683667,2120.011160714286
decode,base64_id_after_1460,core,31,0.8542096312490918,0.8012686044840724,0.9171283165671803,2564.9712837837837
decode,base64_id_after_1460,fused,31,1.002784401941584,0.9476993018338835,1.0451564537940172,3002.8649193548385
decode,base64_id_after_1460,simd,31,0.8617653887954438,0.8341425224290375,0.9177409439581844,2591.0125
decode,chinese_id_after_1460,baseline,31,1.0,1.0,1.0,22054.520833333332
decode,chinese_id_after_1460,combined,31,0.1687829189329128,0.1650898394761299,0.17459312810553132,3721.5807291666665
decode,chinese_id_after_1460,core,31,0.9616963408592655,0.9170739879334423,1.007829552531863,20889.7265625
decode,chinese_id_after_1460,fused,31,0.9944196977032159,0.9622769540085448,1.047255150614713,21756.947916666668
decode,chinese_id_after_1460,simd,31,0.18882874893549187,0.18428967226050402,0.19608164804675132,4161.845170454545
decode,mixed_data_1460,baseline,31,1.0,1.0,1.0,101.75024975024975
decode,mixed_data_1460,combined,31,0.4442136417801359,0.43682745689293034,0.453800373076564,44.93724017917567
decode,mixed_data_1460,core,31,0.7952711614237652,0.7742483352155731,0.8177028854581296,80.64989177489178
decode,mixed_data_1460,fused,31,0.7501446077399836,0.7387913575781707,0.766400432499696,76.3835878407307
decode,mixed_data_1460,simd,31,0.7860562984997228,0.7680991834886898,0.801382959641903,79.72490366776081
decode,mixed_data_event,baseline,31,1.0,1.0,1.0,98.50180853629129
decode,mixed_data_event,combined,31,0.5519398906938355,0.5381421170842546,0.5603682497477751,54.48745799654891
decode,mixed_data_event,core,31,0.8683477522772897,0.8362897202231873,0.8968858081817636,85.39722777222777
decode,mixed_data_event,fused,31,0.7498474306299353,0.7301981529543262,0.7610992530575271,73.95596508754403
decode,mixed_data_event,simd,31,0.819062924250536,0.8037092132575819,0.8353856950706481,81.06820206820207
decode,mixed_id_after_1460,baseline,31,1.0,1.0,1.0,133.08158508158508
decode,mixed_id_after_1460,combined,31,0.5835613676872774,0.5670871751682144,0.5935278653906185,77.10055733739944
decode,mixed_id_after_1460,core,31,0.8864005341266473,0.8743650249206458,0.9118997567847091,118.54845154845155
decode,mixed_id_after_1460,fused,31,0.9991084967750554,0.9761382372690296,1.0198072519483206,132.858732176914
decode,mixed_id_after_1460,simd,31,0.8807230920516158,0.8609809214545765,0.9025068143091212,116.9058941058941
decode,mixed_id_after_event,baseline,31,1.0,1.0,1.0,133.47980590837733
decode,mixed_id_after_event,combined,31,0.5650431610216095,0.5551934363804216,0.5743314036545634,75.28392120699813
decode,mixed_id_after_event,core,31,0.9668346564944541,0.9510843921458294,0.9849001487629083,128.8740390044738
decode,mixed_id_after_event,fused,31,0.9960394136024994,0.9853264578751801,1.0183403432938853,132.717044859902
decode,mixed_id_after_event,simd,31,0.8879180644753621,0.8726748469662098,0.9060011657666299,118.27268731268732
decode,mixed_meta_before_1460,baseline,31,1.0,1.0,1.0,160.5660450660451
decode,mixed_meta_before_1460,combined,31,0.6192342495228966,0.6039731042122027,0.6324176533719511,99.16729424421732
decode,mixed_meta_before_1460,core,31,0.9053508294594133,0.8859308358823021,0.9132352481543915,144.88276723276724
decode,mixed_meta_before_1460,fused,31,0.991102937709896,0.9736715579744987,1.0145086762824878,159.92346542346542
decode,mixed_meta_before_1460,simd,31,0.8966615058298085,0.8792225071412,0.915023291679876,144.1090243090243
decode,mixed_meta_before_event,baseline,31,1.0,1.0,1.0,156.3208896366791
decode,mixed_meta_before_event,combined,31,0.6138948969511451,0.5159914642024327,0.6313312582191231,96.44642024642025
decode,mixed_meta_before_event,core,31,0.9781310712118253,0.9335477429997238,1.005123796044155,152.99032546400966
decode,mixed_meta_before_event,fused,31,0.9810488274034379,0.9265089232003209,1.019985115229369,154.68068773331933
decode,mixed_meta_before_event,simd,31,0.9043113381036038,0.8480943621382504,0.9303676319597093,141.41449027163313
decode,progress_data_1460,baseline,31,1.0,1.0,1.0,55.37588095238095
decode,progress_data_1460,combined,31,0.7544564094127962,0.7162072472691638,0.8113131729191239,43.348
decode,progress_data_1460,core,31,0.7278820303939723,0.700084671088698,0.7636169499591444,40.24088333333333
decode,progress_data_1460,fused,31,0.9017827943831485,0.8755941646236209,0.9972193551724858,49.94023333333334
decode,progress_data_1460,simd,31,0.9911747921082669,0.9565712435144612,1.0441491049163172,54.42040476190476
decode,progress_data_event,baseline,31,1.0,1.0,1.0,59.50251111111111
decode,progress_data_event,combined,31,0.8588450331788865,0.8193566330864576,0.9175814216941269,51.14042105263158
decode,progress_data_event,core,31,0.8222528032072156,0.8026807771878279,0.8516552188747861,48.99522807017544
decode,progress_data_event,fused,31,0.9132642454745618,0.8919973092845417,0.9849068357519868,54.50109259259259
decode,progress_data_event,simd,31,0.9927455607214878,0.9579531201424927,1.013792049154548,59.057854166666665
decode,progress_id_after_1460,baseline,31,1.0,1.0,1.0,86.51545833333333
decode,progress_id_after_1460,combined,31,0.8180188661035086,0.7911625003526176,0.8350462101212128,70.71755555555555
decode,progress_id_after_1460,core,31,0.8943744228948851,0.8692809451283772,0.9246253843396098,77.26716666666667
decode,progress_id_after_1460,fused,31,1.0060894873467587,0.985669110440741,1.0171634025682612,87.31183333333334
decode,progress_id_after_1460,simd,31,1.0272566234440772,1.003673503549791,1.0617069952897382,89.19885185185186
decode,progress_id_after_event,baseline,31,1.0,1.0,1.0,84.73425925925926
decode,progress_id_after_event,combined,31,0.850522496957735,0.8352454364674129,0.8757933061813062,71.92335897435898
decode,progress_id_after_event,core,31,1.064328824004205,1.0496666753605801,1.1090244559400018,89.91076666666666
decode,progress_id_after_event,fused,31,1.0053068138377963,0.9672283280692618,1.049288577486252,85.185
decode,progress_id_after_event,simd,31,1.0257276945051783,1.0068748688727465,1.070175792876622,86.78355555555555
decode,progress_meta_before_1460,baseline,31,1.0,1.0,1.0,113.64904166666666
decode,progress_meta_before_1460,combined,31,0.825970760159691,0.8095808330685439,0.8422569139406507,93.25513333333335
decode,progress_meta_before_1460,core,31,0.9135934660751593,0.8984759321512265,0.9463418322661806,103.6441111111111
decode,progress_meta_before_1460,fused,31,0.9915940781098646,0.9733745386726718,1.0118891586864194,112.16766666666666
decode,progress_meta_before_1460,simd,31,1.01352227861853,0.9969782918939316,1.0411298030082303,115.23575
decode,progress_meta_before_event,baseline,31,1.0,1.0,1.0,110.29925925925924
decode,progress_meta_before_event,combined,31,0.8219925560923542,0.80156876859425,0.8379935716928691,90.2829090909091
decode,progress_meta_before_event,core,31,0.9673118827572711,0.9417798648024648,0.9798786941565849,106.05395833333333
decode,progress_meta_before_event,fused,31,0.9894022220322013,0.9717968504595874,1.013181159780562,108.76811111111111
decode,progress_meta_before_event,simd,31,1.027582770190621,1.0016063386853946,1.0506030035049418,112.58754166666667
decode_json,ascii_id_after_1460,baseline,31,1.0,1.0,1.0,8692.11875
decode_json,ascii_id_after_1460,combined,31,0.9093585537081093,0.8752950853656671,0.9352112072797187,7940.125
decode_json,ascii_id_after_1460,core,31,0.9483921454439571,0.9282978012491484,0.9947226949255533,8336.241477272728
decode_json,ascii_id_after_1460,fused,31,1.0137443016185974,0.9673953326250642,1.0501016591906867,8783.005681818182
decode_json,ascii_id_after_1460,json_only,31,0.6632377494992282,0.6398786410234923,0.6803993301860826,5756.99609375
decode_json,ascii_id_after_1460,simd,31,0.9651449495816237,0.923914019310609,0.9861711060926565,8403.738636363636
decode_json,base64_id_after_1460,baseline,31,1.0,1.0,1.0,9357.521875
decode_json,base64_id_after_1460,combined,31,0.901708237062187,0.8688634518309029,0.9647375649681827,8616.392045454546
decode_json,base64_id_after_1460,core,31,0.957350905128194,0.8963516209283241,1.0880938855726634,8953.54375
decode_json,base64_id_after_1460,fused,31,1.007925776288928,0.9505158576043373,1.254262064927095,9586.76875
decode_json,base64_id_after_1460,json_only,31,0.6675165061930978,0.637930193144818,0.7503005591947014,6410.133333333333
decode_json,base64_id_after_1460,simd,31,0.9572865915326421,0.9337169501101792,1.1752613834205923,9010.0
decode_json,chinese_id_after_1460,baseline,31,1.0,1.0,1.0,28740.302083333332
decode_json,chinese_id_after_1460,combined,31,0.33556453440621736,0.27787650649504597,0.3502265627249431,9667.260416666666
decode_json,chinese_id_after_1460,core,31,0.9288363700340092,0.8813090599192305,1.0040824671802024,26836.364583333332
decode_json,chinese_id_after_1460,fused,31,0.9749832291263251,0.9020539107628159,1.033899233760011,28042.96875
decode_json,chinese_id_after_1460,json_only,31,0.20242025029206992,0.18874099861822863,0.21144998966854253,5810.234375
decode_json,chinese_id_after_1460,simd,31,0.3554545945229324,0.3188513617411851,0.37201664882507507,10153.590277777777
decode_json,mixed_data_1460,baseline,31,1.0,1.0,1.0,1068.3516483516485
decode_json,mixed_data_1460,combined,31,0.9120940946182665,0.8470867209253682,1.0817598693020514,975.5980685980686
decode_json,mixed_data_1460,core,31,0.9771522812855892,0.9031527708847359,0.9998250610867773,1048.6008991008991
decode_json,mixed_data_1460,fused,31,0.9576019352859606,0.9337691076190923,1.0087570016703618,1020.1618381618382
decode_json,mixed_data_1460,json_only,31,0.8608711469917106,0.8189407819321569,0.9726014382492836,918.2147852147853
decode_json,mixed_data_1460,simd,31,0.9881088819795898,0.9452140712362159,1.0686539435612528,1048.7722277722278
decode_json,mixed_data_event,baseline,31,1.0,1.0,1.0,1048.2002997002996
decode_json,mixed_data_event,combined,31,0.9307370168091553,0.8902761446798055,0.9882061671202261,968.8681318681319
decode_json,mixed_data_event,core,31,1.0122756336146388,0.95659996574156,1.0887146108693049,1050.2112887112887
decode_json,mixed_data_event,fused,31,0.9503792191751742,0.9268846703292798,1.0643228767854704,985.8211788211788
decode_json,mixed_data_event,json_only,31,0.8810053099909125,0.8544475654827757,0.986215169627073,915.8376623376623
decode_json,mixed_data_event,simd,31,0.9838704911274622,0.9547001561230316,1.095910237712771,1022.4455544455544
decode_json,mixed_id_after_1460,baseline,31,1.0,1.0,1.0,1100.8821178821179
decode_json,mixed_id_after_1460,combined,31,0.9385086206896551,0.911309050378596,1.0516710981803585,1034.2937062937062
decode_json,mixed_id_after_1460,core,31,0.9892124991828344,0.9734691251055869,1.0739481399795923,1085.467032967033
decode_json,mixed_id_after_1460,fused,31,1.0085396667061344,0.9827711998665889,1.0892947551322845,1110.1298701298701
decode_json,mixed_id_after_1460,json_only,31,0.8377762210768913,0.826528639290794,0.8839362435333262,918.4065934065934
decode_json,mixed_id_after_1460,simd,31,0.9846281427733528,0.9603154299259175,1.0359532529540496,1081.7967032967033
decode_json,mixed_id_after_event,baseline,31,1.0,1.0,1.0,1088.2872127872129
decode_json,mixed_id_after_event,combined,31,0.9255322166164753,0.9023181026795508,0.9980659742694843,1007.7948717948717
decode_json,mixed_id_after_event,core,31,1.0055085405407398,0.9645125410580392,1.1675200884847297,1090.4765234765234
decode_json,mixed_id_after_event,fused,31,1.0100216054434712,0.9841209686241178,1.0699479572046495,1092.7487512487512
decode_json,mixed_id_after_event,json_only,31,0.8453796012715776,0.814130417885323,0.8866846200006199,910.7212787212787
