case,variant,rounds,time_change_pct,p10_pct,p90_pct
small_data_whole_stream_chunk,current,51,-12.614363881917345,-15.40005192082371,-10.425922952018984
small_data_whole_stream_chunk,core,51,-15.709887842859981,-17.91230998178407,-13.980453799396653
small_data_tcp_chunks,current,51,-12.839503772811256,-16.47010506534896,-7.14776017270381
small_data_tcp_chunks,core,51,-16.253153637386262,-18.555165248837625,-8.128715486896777
small_data_event_chunks,current,51,-11.816865313625813,-13.423481519428782,-9.974776070633917
small_data_event_chunks,core,51,0.9463895946483447,-1.4350720213225254,2.9918829118910306
small_data_4b_chunks,current,51,0.7785024093996284,-1.5223603888349535,4.43058529998448
small_data_4b_chunks,core,51,-10.840133259937923,-12.750898129453347,-8.640583318545769
metadata_events_tcp_chunks,current,51,-9.801119883171626,-13.995010268329743,-7.640960745239179
metadata_events_tcp_chunks,core,51,7.588044432074459,5.136560181727234,14.65545910607795
multiline_data_tcp_chunks,current,51,-16.198336285381497,-18.347765854978228,-14.676090079302073
multiline_data_tcp_chunks,core,51,2.0298429191793366,-1.0349369085961735,3.9679523358308044
keepalive_whole_stream_chunk,current,51,-0.46255645541586343,-20.09800533569247,9.284587632233631
keepalive_whole_stream_chunk,core,51,7.220583968135874,-12.369551849574368,15.79482474759406
keepalive_tcp_chunks,current,51,-8.231061088601999,-12.042362395068839,-5.439058750928705
keepalive_tcp_chunks,core,51,7.250314327884988,2.8672403270201707,10.318189075966755
keepalive_line_chunks,current,51,-1.0610919666718233,-4.6430163145316445,2.6542145851061294
keepalive_line_chunks,core,51,-7.134408501742239,-9.331127556606244,-1.4089021882300323
keepalive_4b_chunks,current,51,0.85733520129192,-0.4365653499176392,2.879796619441244
keepalive_4b_chunks,core,51,-11.30641396855644,-12.570442416318173,-8.870889583412634
large_data_event_chunks,current,51,-1.0452907629953767,-6.16819530614624,1.995576761781992
large_data_event_chunks,core,51,22.735702530007984,18.48531723127753,33.85164120491899
large_data_tcp_chunks,current,51,-0.8203018325855571,-2.1285171666156733,0.9929930947502275
large_data_tcp_chunks,core,51,8.779186377522885,6.313301525748427,11.5873525609961
medium_data_10b_chunks,current,51,-0.17188902814715412,-4.130297573885788,9.817324128875216
medium_data_10b_chunks,core,51,-4.270628949466726,-12.994661439953347,5.5672696388654686
json_line_tcp,current,51,-11.439911544024872,-15.040800294980528,-7.701933473304057
json_line_tcp,core,51,-29.818902922046632,-30.854239500630708,-27.791501877079927
json_metadata_after_tcp,current,51,-7.530493734544752,-8.643757281303632,-6.615253004940547
json_metadata_after_tcp,core,51,-0.534211318653488,-1.9457120921448579,1.3439710499761892
json_crlf_tcp,current,51,-3.9494792718014815,-7.725380801815707,1.0583087513597045
json_crlf_tcp,core,51,4.788737457698433,0.9829784872070757,9.095382892471449
large_utf8_tcp,current,51,-0.3201472303845154,-3.8835518831851212,2.053187259893541
large_utf8_tcp,core,51,325.2048185031218,308.6763276013342,331.88246028413874
large_utf8_event,current,51,-0.41079818154238223,-6.945182670226535,1.4830447897754118
large_utf8_event,core,51,407.8280888438476,393.01594279187367,555.9830285879843
large_json_utf8_tcp,current,51,-0.35686741690937884,-2.4100914837975607,9.188570452028433
large_json_utf8_tcp,core,51,375.5516423615335,364.0967454449433,391.1135778832637
large_json_escaped_tcp,current,51,0.02658246483957516,-7.599503884495318,7.080647079996916
large_json_escaped_tcp,core,51,7.909215828055127,1.6298495015003578,16.29100738941476
large_json_base64_tcp,current,51,-0.55479631010803,-5.390107606361704,2.362158798458047
large_json_base64_tcp,core,51,5.646572166544495,0.6484137147763969,8.995461603159892
mixed_json_tcp,current,51,-13.980023408945662,-18.139991703386983,-7.998874504744058
mixed_json_tcp,core,51,-0.04369430502000338,-2.6070336038274022,14.208867681489345
mixed_json_whole,current,51,-16.21304112512473,-18.568453070712476,-13.482859365855958
mixed_json_whole,core,51,17.923371292010604,15.017861202613991,21.831116242844175
mixed_multiline_tcp,current,51,-5.381084961146931,-7.126608532448175,-3.0722072466940142
mixed_multiline_tcp,core,51,33.29014588692414,30.78997925411844,36.54075071123919
mixed_multiline_whole,current,51,-5.515166626739488,-8.686950456948894,-2.3212546670938528
mixed_multiline_whole,core,51,49.31345200336929,43.8218735170268,62.60030571532056
alternating_sizes_tcp,current,51,-0.9730408374243549,-5.571768251785947,3.4153967095668536
alternating_sizes_tcp,core,51,8.93997794033159,5.111993306674445,11.77963302874736
varied_sizes_tcp,current,51,0.5717285238630021,-4.895441147747337,4.863648148065347
varied_sizes_tcp,core,51,-2.8462140132969327,-8.193164953367482,2.666641913965573
comment_crlf_tcp,current,51,-13.979756322280924,-15.646109506189044,-12.805868412045163
comment_crlf_tcp,core,51,139.3854662728912,134.95766075766448,142.9547079076043
