kind,case,round,variant,mean_ns,median_ns,mean_ci95_low_ns,mean_ci95_high_ns
encode,small_json,3,current,15.466112862798159,14.319196633238379,14.768302718072233,16.29128164254575
encode,small_json,3,baseline,16.8776830206824,14.640133840751567,15.870878065768425,17.941481116409186
encode,metadata_json,1,current,70.40563287580405,69.01549119698709,65.95069609335717,75.39938204091192
encode,metadata_json,1,baseline,70.14487339186722,69.35325017019007,65.8991345097113,74.740733617227
encode,metadata_json,2,current,82.3269581493121,76.02263318518823,78.54251715801165,86.36245995648738
encode,metadata_json,2,baseline,80.53444893171257,74.64419790982316,76.54954366974718,84.73884499737693
encode,metadata_json,3,current,80.01482931052905,75.62361878278854,76.5051485243887,83.61488097359954
encode,metadata_json,3,baseline,84.98033160305768,78.24156085755948,80.27252467790386,89.73557040843447
encode,large_ascii,1,current,640.0260886816675,635.0914235412474,635.9859908923131,644.7613238257449
encode,large_ascii,1,baseline,658.4856187565924,633.486338970217,642.7210601784235,678.3561584317556
encode,large_ascii,2,current,724.4895150671484,673.5812639405204,698.1256116943813,752.7503187886397
encode,large_ascii,2,baseline,694.5489923952712,657.2494821924729,670.0125719926485,722.0639118459901
encode,large_ascii,3,current,711.4853062884182,673.9593824093937,689.6124807780012,736.9338299358152
encode,large_ascii,3,baseline,737.7004740830828,687.9395787895311,710.9040586380357,766.2299523234244
encode,large_utf8,1,current,718.9787232542843,667.7456922162805,689.0768235060702,752.875816316035
encode,large_utf8,1,baseline,649.9383834628931,646.47131738437,647.4146759892805,652.6830585274563
