case,round1,round2,round3,focus1,focus2,median_all_five_pct
large_utf8_tcp,1.4784772458374729,9.859929505073683,9.508886191539867,-5.824794441581249,-6.647374443211995,1.4784772458374729
large_json_utf8_tcp,8.073186369835096,-3.028896768034428,8.189167429838061,-2.646258536430235,-5.310280160309777,-2.646258536430235
large_json_base64_tcp,0.5733881855333189,5.101928680787449,10.69627180011734,-6.933479347063032,-7.538111504411759,0.5733881855333189
large_data_tcp_chunks,-1.4223898909181187,-2.612989462940929,13.227355219276514,-9.204235335516042,-3.3095623815476705,-2.612989462940929
json_line_tcp,-16.640688657859158,-18.00172182727143,-15.79876343958151,-13.619127671560493,-15.700363525139638,-15.79876343958151
