experiment,scenario,variant,paired_rounds,median_ns,median_ratio_vs_baseline,ratio_p10,ratio_p90
screen-bytes.csv,keep_4b,adaptive,31,9742564.0,0.9881897911532426,0.9587372652813668,1.0348545607567874
screen-bytes.csv,keep_4b,baseline,31,9876525.0,1.0,1.0,1.0
screen-bytes.csv,keep_4b,capped,31,9975125.0,1.012294355109201,0.962474985791373,1.045751427564615
screen-bytes.csv,keep_4b,comment,31,9839476.0,0.9972783098528616,0.9590169167293838,1.0336205284654179
screen-bytes.csv,keep_4b,core,31,11717542.0,1.1842944760429401,1.144531051412578,1.209840010335861
screen-bytes.csv,keep_4b,fused_direct,31,9865513.0,0.996036229126664,0.9684531840144167,1.0761103836127364
screen-bytes.csv,keep_4b,fused_dispatch,31,9821350.0,0.9928618895101209,0.8965708585258192,1.00669029848202
screen-bytes.csv,keep_4b,lazy,31,9822716.0,0.9946212209868923,0.8781556474752626,1.0246095586659747
screen-bytes.csv,keep_4b,poll,31,9037440.0,0.9145894663587044,0.8836091742388923,0.9329523504299557
screen-bytes.csv,keep_4b,previous_combo,31,8901981.0,0.898543041693691,0.8431302526773372,0.9250940734010561
screen-bytes.csv,keep_4b,reserve,31,9907469.0,1.0012060293342568,0.9559436503517842,1.0313372194006258
screen-bytes.csv,keep_4b,reuse_copy,31,9895974.0,0.9991564162119536,0.956204424302839,1.0559362731325035
screen-bytes.csv,keep_4b,simd,31,9812598.0,0.9927297577734076,0.9511212138652423,1.0083648978350777
screen-bytes.csv,keep_event,adaptive,31,3206601.0,0.9900007191039778,0.9539429860726221,1.0048581578879971
screen-bytes.csv,keep_event,baseline,31,3220915.0,1.0,1.0,1.0
screen-bytes.csv,keep_event,capped,31,3224703.0,1.0039785455825518,0.9780145118554003,1.0186196715586588
screen-bytes.csv,keep_event,comment,31,3266772.0,1.01475861914553,0.9204454644987541,1.0308772022557744
screen-bytes.csv,keep_event,core,31,3026452.0,0.9422449863115169,0.9247742171399725,0.9937600202537185
screen-bytes.csv,keep_event,fused_direct,31,3225380.0,1.0019756243053837,0.9733714112845202,1.0409893078904278
screen-bytes.csv,keep_event,fused_dispatch,31,3219195.0,0.9974126920833774,0.9722593513593939,1.0212347660145242
screen-bytes.csv,keep_event,lazy,31,3222600.0,0.9985383283476427,0.9728413161846753,1.0124312453033872
screen-bytes.csv,keep_event,poll,31,3105541.0,0.9637468976230362,0.9071604062318037,0.9822644552081925
screen-bytes.csv,keep_event,previous_combo,31,3067399.0,0.9498082561195715,0.9211124097473167,0.9649482810480465
screen-bytes.csv,keep_event,reserve,31,3252677.0,1.0132118805080186,0.9521668508375877,1.0551997817814611
screen-bytes.csv,keep_event,reuse_copy,31,3232959.0,1.000543849883719,0.956712873379091,1.0333995941746958
screen-bytes.csv,keep_event,simd,31,3226205.0,1.004714982201836,0.9601663266537193,1.030153904842165
screen-bytes.csv,keep_tcp,adaptive,31,1087117.5,1.0715200927891089,0.9979068534294241,1.1172359775292797
screen-bytes.csv,keep_tcp,baseline,31,1005171.0,1.0,1.0,1.0
screen-bytes.csv,keep_tcp,capped,31,991778.75,0.9899429093779865,0.912370751507963,1.0030018400653524
screen-bytes.csv,keep_tcp,comment,31,1028893.5,1.0226756321564885,0.9494472850518838,1.0422151909311748
screen-bytes.csv,keep_tcp,core,31,1091756.6666666667,1.0779241792576073,1.009966537507797,1.107822661735987
screen-bytes.csv,keep_tcp,fused_direct,31,987427.3333333334,0.9802148260887983,0.9537280018842991,1.0550235388678377
screen-bytes.csv,keep_tcp,fused_dispatch,31,1032117.0,1.014296210823447,0.9210222171471205,1.0429615272807333
screen-bytes.csv,keep_tcp,lazy,31,982733.3333333334,0.9785820293660042,0.9129170738556903,0.9935392111228815
screen-bytes.csv,keep_tcp,poll,31,984749.25,0.9832109970327932,0.909285522796868,1.0206367470632849
screen-bytes.csv,keep_tcp,previous_combo,31,1080491.75,1.0677955233835597,0.9905748081821784,1.0872757228078056
screen-bytes.csv,keep_tcp,reserve,31,984432.0,0.9796109653307888,0.902754928705251,1.0285080238314561
screen-bytes.csv,keep_tcp,reuse_copy,31,1012014.6,1.0044861114863546,0.9608872059038351,1.0894064156738887
screen-bytes.csv,keep_tcp,simd,31,1003831.75,0.995118371084597,0.9234409784987706,1.0294702577779784
screen-bytes.csv,keep_whole,adaptive,31,1061873.5,1.1123020737912548,1.013670675971058,1.1330287809891697
screen-bytes.csv,keep_whole,baseline,31,953734.0,1.0,1.0,1.0
screen-bytes.csv,keep_whole,capped,31,1068619.0,1.0976036807823764,0.9929090393554949,1.2120077996401386
screen-bytes.csv,keep_whole,comment,31,991062.8,1.0409057109642554,1.0004813919982716,1.0983272920156868
screen-bytes.csv,keep_whole,core,31,1062632.0,1.1115160946842493,1.0648484639572484,1.1778834608481703
screen-bytes.csv,keep_whole,fused_direct,31,951464.0,1.0007745752116959,0.9606274250071432,1.0435278225961708
screen-bytes.csv,keep_whole,fused_dispatch,31,957961.2,1.002442187789272,0.9631177805082685,1.0639401928426637
screen-bytes.csv,keep_whole,lazy,31,978655.0,1.0165738403694897,0.9637299963146937,1.1182678298427133
screen-bytes.csv,keep_whole,poll,31,1027515.4,1.073458904377923,1.005166175674069,1.14671539776954
screen-bytes.csv,keep_whole,previous_combo,31,1059983.25,1.104524355373046,1.030448971958247,1.187072719727255
screen-bytes.csv,keep_whole,reserve,31,953981.0,1.0030876671708582,0.958746705233118,1.0545112196103812
screen-bytes.csv,keep_whole,reuse_copy,31,953489.2,1.00221503551724,0.959743579735175,1.0836390068981256
screen-bytes.csv,keep_whole,simd,31,951083.2,0.9972151858836632,0.9587802295231052,1.0568424301208006
screen-bytes.csv,large_event,adaptive,31,87126.54385964913,0.9966752419925605,0.9635751967950468,1.0065322943941875
screen-bytes.csv,large_event,baseline,31,87438.97727272728,1.0,1.0,1.0
screen-bytes.csv,large_event,capped,31,94841.19607843137,1.084219291162636,1.0278334630642958,1.0980385604486314
screen-bytes.csv,large_event,comment,31,87596.54385964913,1.0004110151850598,0.9817490631572439,1.0080117213062665
screen-bytes.csv,large_event,core,31,90914.29090909091,1.0392265292537106,1.0009590172408356,1.064312366828092
screen-bytes.csv,large_event,fused_direct,31,86333.73684210527,0.9864029555717524,0.9487034858434453,0.9958345083282275
screen-bytes.csv,large_event,fused_dispatch,31,87245.73684210527,0.9958822421421673,0.951135874200341,1.0213704441870466
screen-bytes.csv,large_event,lazy,31,87434.63636363637,1.0000510760028607,0.9858329827674954,1.066553486278777
screen-bytes.csv,large_event,poll,31,87426.89285714286,1.0004954013418466,0.9929909722318623,1.0324650557483392
screen-bytes.csv,large_event,previous_combo,31,86239.4,0.9856346163137254,0.9689066588426165,0.9925144677915803
screen-bytes.csv,large_event,reserve,31,87665.21818181819,1.0020134767989521,0.9838063629360839,1.0100071518020168
screen-bytes.csv,large_event,reuse_copy,31,125773.66666666667,1.4397225686839563,1.349216735103452,1.4536669692891473
screen-bytes.csv,large_event,simd,31,73419.73529411765,0.8381167849518028,0.821785562525562,0.8492127348988048
screen-bytes.csv,large_tcp,adaptive,31,125191.94871794872,0.9376252114527347,0.9097135397934724,0.9678405374530505
screen-bytes.csv,large_tcp,baseline,31,133891.86956521738,1.0,1.0,1.0
screen-bytes.csv,large_tcp,capped,31,177521.07692307694,1.3297239668526426,1.23803534891523,1.3377401092845436
screen-bytes.csv,large_tcp,comment,31,128181.24324324324,0.9587815191056952,0.9097287248455267,0.9684714453184199
screen-bytes.csv,large_tcp,core,31,123399.9756097561,0.9224501866601476,0.8451415391641518,0.95231628926262
screen-bytes.csv,large_tcp,fused_direct,31,133906.0,1.0000963093418702,0.9648164492483045,1.0649542602110442
screen-bytes.csv,large_tcp,fused_dispatch,31,133928.83333333334,1.0008611204829845,0.9380583878912917,1.0144279190880967
screen-bytes.csv,large_tcp,lazy,31,163023.0,1.2138216646027227,1.1658739726842884,1.2257523259729621
screen-bytes.csv,large_tcp,poll,31,135057.42857142858,1.010935127638197,0.9707600905760086,1.0213429102532077
screen-bytes.csv,large_tcp,previous_combo,31,125973.0,0.9400801525672104,0.8655165474542962,1.0535067919358994
screen-bytes.csv,large_tcp,reserve,31,134292.88,1.003314774831256,0.9750202500130394,1.0300217259618034
screen-bytes.csv,large_tcp,reuse_copy,31,164347.0,1.2291580376399365,1.1907900629551103,1.2390422876113505
screen-bytes.csv,large_tcp,simd,31,110888.68181818182,0.8276155547437176,0.7879565773327937,0.8405603579582491
screen-bytes.csv,large_utf8_tcp,adaptive,31,1016375.0,0.9911612694058112,0.9714661854647559,1.0130676470048265
screen-bytes.csv,large_utf8_tcp,baseline,31,1027544.5,1.0,1.0,1.0
screen-bytes.csv,large_utf8_tcp,capped,31,1059668.5,1.0311836582254135,1.0160205494521577,1.0401426680369026
screen-bytes.csv,large_utf8_tcp,comment,31,1019122.0,0.9924923946349071,0.972581822232379,1.0386089454969352
screen-bytes.csv,large_utf8_tcp,core,31,1013593.75,0.9883082841325981,0.968930134309941,1.0557458564346054
screen-bytes.csv,large_utf8_tcp,fused_direct,31,1025520.5,1.0011784129328998,0.9835578950247571,1.0289000241590796
screen-bytes.csv,large_utf8_tcp,fused_dispatch,31,1024574.0,0.999329416749033,0.9867671873849091,1.0317940746115066
screen-bytes.csv,large_utf8_tcp,lazy,31,1060162.0,1.032343819229065,0.9660458991076967,1.0410859146268667
screen-bytes.csv,large_utf8_tcp,poll,31,1028137.0,1.0018122616257452,0.9820005148879639,1.021881626714314
screen-bytes.csv,large_utf8_tcp,previous_combo,31,1015780.75,0.9915406601737856,0.9804116496726556,1.045381872446474
screen-bytes.csv,large_utf8_tcp,reserve,31,1028561.5,1.002101033808299,0.9889075652236473,1.050917182980678
screen-bytes.csv,large_utf8_tcp,reuse_copy,31,1057109.0,1.0301810732158372,1.0134783203072673,1.0679541461347581
screen-bytes.csv,large_utf8_tcp,simd,31,212387.60869565216,0.20665958180995045,0.20062121344928724,0.20867756286790567
screen-bytes.csv,medium_10b,adaptive,31,1696604.0,0.9637796773618427,0.9348526698442683,1.0245089193682684
screen-bytes.csv,medium_10b,baseline,31,1777355.0,1.0,1.0,1.0
screen-bytes.csv,medium_10b,capped,31,1786520.5,1.0028057939088362,0.9764995094328277,1.0672467388986933
screen-bytes.csv,medium_10b,comment,31,1741198.0,0.9746948346368887,0.9440728970611465,1.0714318670258245
screen-bytes.csv,medium_10b,core,31,1686798.0,0.9502406314917672,0.9298886440723706,1.0034708210244692
screen-bytes.csv,medium_10b,fused_direct,31,1776336.0,1.0013793958954826,0.9583395052787214,1.024945276370438
screen-bytes.csv,medium_10b,fused_dispatch,31,1773643.0,1.000148586711776,0.9539224876538318,1.0313180153750616
screen-bytes.csv,medium_10b,lazy,31,1802131.5,1.0178048191183253,1.0060871350968152,1.0685483222466252
screen-bytes.csv,medium_10b,poll,31,1728881.0,0.9636556902995737,0.9250012321146339,1.134396688093583
screen-bytes.csv,medium_10b,previous_combo,31,1647010.3333333333,0.9291871504747041,0.9028984790637843,0.9484150640261187
screen-bytes.csv,medium_10b,reserve,31,1785002.5,1.0078548637981648,0.989182591198016,1.1010534855798464
screen-bytes.csv,medium_10b,reuse_copy,31,1778689.5,1.0065527895829915,0.9745713488153441,1.1020077581172913
screen-bytes.csv,medium_10b,simd,31,1757505.0,0.9948496616814544,0.9790572363381036,1.071094996012232
screen-bytes.csv,metadata_tcp,adaptive,31,3854020.0,0.9635099257185784,0.9430623901068167,0.9778797437429289
screen-bytes.csv,metadata_tcp,baseline,31,3995742.0,1.0,1.0,1.0
screen-bytes.csv,metadata_tcp,capped,31,4195193.0,1.050647689858955,1.011436094218599,1.0668169457927774
screen-bytes.csv,metadata_tcp,comment,31,4174169.0,1.0456399570120039,0.9859105041602867,1.058988184071499
screen-bytes.csv,metadata_tcp,core,31,4620433.0,1.1582472544245046,1.1246460041043487,1.1802294848661974
screen-bytes.csv,metadata_tcp,fused_direct,31,4118296.0,1.0298895221323459,1.0156994904855465,1.078280769524003
screen-bytes.csv,metadata_tcp,fused_dispatch,31,4117628.0,1.0275182240972045,0.9764906461185194,1.0651435611161477
screen-bytes.csv,metadata_tcp,lazy,31,4218605.0,1.0557992307238895,1.043174819676818,1.068803781544639
screen-bytes.csv,metadata_tcp,poll,31,3927030.0,0.9742072740805799,0.9147585316270554,0.9971020464498682
screen-bytes.csv,metadata_tcp,previous_combo,31,3820502.0,0.9574011159143838,0.9221570644234687,0.9931652618601241
screen-bytes.csv,metadata_tcp,reserve,31,3978502.0,0.996494417816417,0.9779186150205431,1.0110538221565828
screen-bytes.csv,metadata_tcp,reuse_copy,31,4386862.0,1.0976554830615248,1.0586529713595048,1.1231760374288955
screen-bytes.csv,metadata_tcp,simd,31,4122184.0,1.0302314313586813,1.0094820998762934,1.0714229697882978
screen-bytes.csv,mixed_multiline_tcp,adaptive,31,511530.6666666667,0.9432273309836592,0.9104159113530568,0.9736564811585549
screen-bytes.csv,mixed_multiline_tcp,baseline,31,538095.6666666666,1.0,1.0,1.0
screen-bytes.csv,mixed_multiline_tcp,capped,31,547397.0,1.0109191848899926,0.9617792159828076,1.0580524100644388
screen-bytes.csv,mixed_multiline_tcp,comment,31,566356.8888888889,1.0503390279644462,1.0037674176906697,1.1308883045359466
screen-bytes.csv,mixed_multiline_tcp,core,31,592944.75,1.099995347625428,1.0783126607390248,1.162654489884119
screen-bytes.csv,mixed_multiline_tcp,fused_direct,31,516313.8888888889,0.9587393761777665,0.9046391992709474,0.9744839203310534
screen-bytes.csv,mixed_multiline_tcp,fused_dispatch,31,522039.55555555556,0.9732388072401159,0.9318053783162803,1.0818633766670158
screen-bytes.csv,mixed_multiline_tcp,lazy,31,471223.7,0.8692575324196238,0.8152218807031024,0.9044676070611979
screen-bytes.csv,mixed_multiline_tcp,poll,31,476262.6,0.8786939292379139,0.8380092639870325,0.9117770313529711
screen-bytes.csv,mixed_multiline_tcp,previous_combo,31,500547.8888888889,0.925891655398141,0.894653868769033,0.966945206630214
screen-bytes.csv,mixed_multiline_tcp,reserve,31,510874.44444444444,0.9465672111941974,0.903061708846814,0.9675798111332921
screen-bytes.csv,mixed_multiline_tcp,reuse_copy,31,442729.9090909091,0.8198682343090048,0.7653862922208902,0.8332791351710508
screen-bytes.csv,mixed_multiline_tcp,simd,31,507734.55555555556,0.9446179991245853,0.8991295409661173,0.9807493498731313
screen-bytes.csv,mixed_tcp,adaptive,31,450202.9,0.932889442465111,0.9054620058062823,0.9659289854019482
screen-bytes.csv,mixed_tcp,baseline,31,480161.4,1.0,1.0,1.0
screen-bytes.csv,mixed_tcp,capped,31,487648.6,1.015986497689892,0.9864106255802735,1.107412798196046
screen-bytes.csv,mixed_tcp,comment,31,492758.9,1.0249295681367778,1.0020180573323973,1.1306425689921638
screen-bytes.csv,mixed_tcp,core,31,441164.8181818182,0.9212785287224348,0.8856200122207205,0.9419330217642911
screen-bytes.csv,mixed_tcp,fused_direct,31,321932.06666666665,0.6638013677112149,0.6445876948756276,0.6932820304656068
screen-bytes.csv,mixed_tcp,fused_dispatch,31,428595.36363636365,0.89471398844121,0.8778278389898558,0.9572761829072831
screen-bytes.csv,mixed_tcp,lazy,31,419030.7272727273,0.8749538934700443,0.8214302781632808,0.8932240494572948
screen-bytes.csv,mixed_tcp,poll,31,418832.3333333333,0.8726302116661913,0.8601637090222326,0.9056680031314371
screen-bytes.csv,mixed_tcp,previous_combo,31,277922.0,0.5781606066762891,0.5600463559773409,0.611674015335481
screen-bytes.csv,mixed_tcp,reserve,31,460608.1818181818,0.9600674923837733,0.9314252660878045,1.0303167061673602
screen-bytes.csv,mixed_tcp,reuse_copy,31,382112.6923076923,0.7943991651520977,0.7498388258078531,0.8030645254601136
screen-bytes.csv,mixed_tcp,simd,31,454370.36363636365,0.9453434545739121,0.9230219906354729,0.9734730340277566
screen-bytes.csv,mixed_whole,adaptive,31,401808.5,0.9483708437969872,0.9028173836287422,0.9641866601421011
screen-bytes.csv,mixed_whole,baseline,31,423051.1666666667,1.0,1.0,1.0
screen-bytes.csv,mixed_whole,capped,31,472172.875,1.1077357811014956,1.0548260385126245,1.134380392996989
screen-bytes.csv,mixed_whole,comment,31,440728.0,1.0412259581807075,0.9336717695556146,1.125590295547806
screen-bytes.csv,mixed_whole,core,31,388685.54545454547,0.9150059806681513,0.8363183179865951,0.9296306463159485
screen-bytes.csv,mixed_whole,fused_direct,31,308817.6875,0.7267728437458096,0.6991568412681426,0.744156739974506
screen-bytes.csv,mixed_whole,fused_dispatch,31,368484.76923076925,0.8761181637855003,0.8301212305028548,0.9385553770648976
