mode,scenario,variant,reference,rounds,ratio_median,ratio_p10,ratio_p90
bytes_tokio,json_crlf_tcp,baseline,step1,31,0.9396674891579951,0.9188788039442337,0.9542872338560265
bytes_tokio,json_crlf_tcp,baseline,step2,31,0.9544771201856111,0.9404627398487193,0.9704003503257523
bytes_tokio,json_crlf_tcp,cold_copy,baseline,31,1.060517141601934,1.0361379311752752,1.084444785414694
bytes_tokio,json_crlf_tcp,cold_copy,step1,31,0.9961215732032438,0.9744634216249937,1.0124084225626313
bytes_tokio,json_crlf_tcp,cold_copy,step2,31,1.0121642321024809,0.9977980612019066,1.0287935393788445
bytes_tokio,json_crlf_tcp,data_only,baseline,31,1.083361626003092,1.0630943968773994,1.103701605724657
bytes_tokio,json_crlf_tcp,data_only,step1,31,1.014168011379603,1.002718973331221,1.0265041522011105
bytes_tokio,json_crlf_tcp,data_only,step2,31,1.0345267290809679,1.0092816364037416,1.047743703066724
bytes_tokio,json_crlf_tcp,step1,baseline,31,1.064206234160625,1.047902522974409,1.088282802593289
bytes_tokio,json_crlf_tcp,step1,step2,31,1.0195957582247313,0.9966234046956339,1.0346178843904048
bytes_tokio,json_crlf_tcp,step2,baseline,31,1.0476940503356815,1.0305025133846164,1.0633063465766412
bytes_tokio,json_crlf_tcp,step2,step1,31,0.9807808554844811,0.9665404156329642,1.0033880353285476
bytes_tokio,json_line_tcp,baseline,step1,31,1.0192840014095033,0.9977146339864196,1.0904183923061754
bytes_tokio,json_line_tcp,baseline,step2,31,0.9942731782522176,0.9694655303402331,1.0748626900167897
bytes_tokio,json_line_tcp,cold_copy,baseline,31,1.0174966902570977,0.9938594115866771,1.0623803639027296
bytes_tokio,json_line_tcp,cold_copy,step1,31,1.0360650413014612,1.014959361680178,1.1255814846965688
bytes_tokio,json_line_tcp,cold_copy,step2,31,1.0142956049681815,0.9794404527876839,1.1024236153568796
bytes_tokio,json_line_tcp,data_only,baseline,31,1.0115444477844753,0.962183896027888,1.0456636902300178
bytes_tokio,json_line_tcp,data_only,step1,31,1.0365562186064483,0.9978894252476039,1.0604455199192575
bytes_tokio,json_line_tcp,data_only,step2,31,1.0109311710793574,0.9656184858147604,1.060881708967586
bytes_tokio,json_line_tcp,step1,baseline,31,0.9810808357799821,0.917079175347597,1.0022906008749708
bytes_tokio,json_line_tcp,step1,step2,31,0.9822350461172862,0.936471857683365,1.0019015276010073
bytes_tokio,json_line_tcp,step2,baseline,31,1.005759807136555,0.9303513921246812,1.0314961890899317
bytes_tokio,json_line_tcp,step2,step1,31,1.0180862553753682,0.9981020813437022,1.067837748454919
bytes_tokio,json_metadata_after_tcp,baseline,step1,31,0.9627947394171298,0.9522925560919815,0.9762903822920306
bytes_tokio,json_metadata_after_tcp,baseline,step2,31,0.9773318019909695,0.9514668683646109,0.9910545100207118
bytes_tokio,json_metadata_after_tcp,cold_copy,baseline,31,1.0388933032296825,1.0273025330561978,1.049047998463317
bytes_tokio,json_metadata_after_tcp,cold_copy,step1,31,0.9998700499874381,0.9893756852820463,1.011109041487887
bytes_tokio,json_metadata_after_tcp,cold_copy,step2,31,1.010947047186945,0.996304261079852,1.0307259064401275
bytes_tokio,json_metadata_after_tcp,data_only,baseline,31,1.0594805338618976,1.0364869188211219,1.0863364878330897
bytes_tokio,json_metadata_after_tcp,data_only,step1,31,1.018979992601342,1.000456916624499,1.0376889293739897
bytes_tokio,json_metadata_after_tcp,data_only,step2,31,1.031279922103844,1.0125284638437708,1.0494584131754678
bytes_tokio,json_metadata_after_tcp,step1,baseline,31,1.0386429828287118,1.0242854156283978,1.0500974659550004
bytes_tokio,json_metadata_after_tcp,step1,step2,31,1.0137243549675197,0.9929361857002589,1.0293518124337595
bytes_tokio,json_metadata_after_tcp,step2,baseline,31,1.0231939633631608,1.0090262340656735,1.0510087458103594
bytes_tokio,json_metadata_after_tcp,step2,step1,31,0.9864614528591855,0.9714851500923078,1.007114066746152
bytes_tokio,keepalive_4b_chunks,baseline,step1,31,0.9978381816683697,0.973418232120216,1.0289227976354716
bytes_tokio,keepalive_4b_chunks,baseline,step2,31,0.9819260343634914,0.9700203155320404,0.9986693089508475
bytes_tokio,keepalive_4b_chunks,cold_copy,baseline,31,1.0184950701335764,1.0102320602427777,1.0395417490756902
bytes_tokio,keepalive_4b_chunks,cold_copy,step1,31,1.016734657411204,1.0030450828685984,1.0395466614631226
bytes_tokio,keepalive_4b_chunks,cold_copy,step2,31,1.003474072149398,0.98909507206139,1.0144733528849739
bytes_tokio,keepalive_4b_chunks,data_only,baseline,31,1.024841946403061,0.9977862539795557,1.0506991116235864
bytes_tokio,keepalive_4b_chunks,data_only,step1,31,1.0230067465768555,1.0010064678899495,1.0500391168439083
bytes_tokio,keepalive_4b_chunks,data_only,step2,31,1.0058971396118674,0.9926644177921943,1.024253796656854
bytes_tokio,keepalive_4b_chunks,step1,baseline,31,1.0021665019151862,0.9718902159598972,1.0273076535888235
bytes_tokio,keepalive_4b_chunks,step1,step2,31,0.9818228518102305,0.9682321621679385,1.0030126269291681
bytes_tokio,keepalive_4b_chunks,step2,baseline,31,1.0184066467371187,1.0013324641472667,1.030906243908424
bytes_tokio,keepalive_4b_chunks,step2,step1,31,1.018513673985338,0.9969964217316072,1.0328101452041536
bytes_tokio,keepalive_tcp_chunks,baseline,step1,31,1.0248782063624209,1.0085907541243528,1.0321322289505854
bytes_tokio,keepalive_tcp_chunks,baseline,step2,31,1.0252291674538359,1.0175129714800875,1.037100522892592
bytes_tokio,keepalive_tcp_chunks,cold_copy,baseline,31,0.9787812901808741,0.9710941021996349,0.9926593837363272
bytes_tokio,keepalive_tcp_chunks,cold_copy,step1,31,1.002297520224077,0.9881140234030782,1.0143680241987776
bytes_tokio,keepalive_tcp_chunks,cold_copy,step2,31,1.0063929150352455,0.9977941394949312,1.0204401631441244
bytes_tokio,keepalive_tcp_chunks,data_only,baseline,31,0.9792513499155429,0.9699225739363505,0.9976090226931948
bytes_tokio,keepalive_tcp_chunks,data_only,step1,31,1.0032559221236586,0.9587315200522748,1.01609082699876
bytes_tokio,keepalive_tcp_chunks,data_only,step2,31,1.0049987731726093,0.9974957895520272,1.0204316447489243
bytes_tokio,keepalive_tcp_chunks,step1,baseline,31,0.9757256948113663,0.9688681081267506,0.9914824183255465
bytes_tokio,keepalive_tcp_chunks,step1,step2,31,1.0018937137906763,0.9930760456632196,1.0408297933208466
bytes_tokio,keepalive_tcp_chunks,step2,baseline,31,0.9753916799728858,0.9642266857709082,0.9827884538369935
bytes_tokio,keepalive_tcp_chunks,step2,step1,31,0.9981098655829357,0.9607718826047668,1.0069722297371058
bytes_tokio,keepalive_whole_stream_chunk,baseline,step1,31,0.9982647544047666,0.9819672998062603,1.0157849203559064
bytes_tokio,keepalive_whole_stream_chunk,baseline,step2,31,1.0004562429240103,0.9943260949128574,1.024174708508837
bytes_tokio,keepalive_whole_stream_chunk,cold_copy,baseline,31,1.1466886903496556,1.016483666900848,1.215822436583613
bytes_tokio,keepalive_whole_stream_chunk,cold_copy,step1,31,1.136665683235889,1.0663653089774785,1.2134199672480968
bytes_tokio,keepalive_whole_stream_chunk,cold_copy,step2,31,1.1467164003471388,1.0435004749963808,1.209542287477784
bytes_tokio,keepalive_whole_stream_chunk,data_only,baseline,31,0.9996359133903866,0.9856461074401514,1.016313164852625
bytes_tokio,keepalive_whole_stream_chunk,data_only,step1,31,1.0003737027490773,0.9758014170953871,1.0260619822228014
