run,scenario,variant,mean_ns,mean_ci_low,mean_ci_high,median_ns,ratio_to_baseline,ratio_to_step1,ratio_to_core
full,alternating_sizes_tcp,baseline,173436.07655744947,165397.91645524927,182886.89213210516,161338.995014245,1.0,1.0794092016543504,1.2241606802395506
full,alternating_sizes_tcp,core,141677.54230066476,138057.427055073,145697.07805631874,135221.23145780052,0.8168862275533262,0.8817545107257698,1.0
full,alternating_sizes_tcp,step1,160676.8557203641,151661.64178348056,170084.12457134222,141046.88768115942,0.9264327175156147,1.0,1.1341025056700902
full,alternating_sizes_tcp,step2,146214.80758847325,143489.57877808713,149111.00968113783,141456.09914529914,0.8430472511296727,0.9099929602987747,1.0320252964169834
full,comment_crlf_tcp,baseline,455743.976146344,436861.4174922653,478791.0634184269,422140.6864295125,1.0,1.0804037152989274,0.42649328835511857
full,comment_crlf_tcp,core,1068584.1690593497,1048844.808763716,1090840.8670470628,1034843.3971861472,2.3447027826786164,2.5332255976777107,1.0
full,comment_crlf_tcp,step1,421827.47957345576,421636.61814699456,422132.7924774879,421636.4201127819,0.9255799344630343,1.0,0.3947536298846546
full,comment_crlf_tcp,step2,422437.5756461501,421782.5230630188,423646.19532856235,421793.9969806763,0.9269186160575849,1.0014463165683545,0.39532456859997495
full,encode_empty_with_retry,baseline,91.64917743607722,87.16093504121932,97.35032338213033,85.8855336859879,1.0,1.9560894273182707,
full,encode_empty_with_retry,step1,46.85326557984877,44.592913538932166,49.56661859505606,45.470701595855736,0.5112240708600754,1.0,
full,encode_empty_with_retry,step2,46.776915525724135,44.431992139165175,49.6267385125614,45.470602342028045,0.5103910022362148,0.9983704432726357,
full,encode_large_ascii,baseline,1153.0392356473824,1084.851143644174,1222.5788310681355,1151.1819367270605,1.0,1.7590042392747742,
full,encode_large_ascii,step1,655.50679748377,641.5204104652668,673.2000886136244,633.4895495495496,0.5685034621703319,1.0,
full,encode_large_ascii,step2,642.0339140719892,633.5601437288603,655.3435421690983,631.4765369522564,0.5568187917833642,0.9794466152547955,
full,encode_large_utf8,baseline,1212.4400770057898,1174.2983473176464,1244.4083601914074,1258.1693008078878,1.0,1.607462775319126,
full,encode_large_utf8,step1,754.2570164743546,715.5836298017563,794.7667618811597,678.7507214779239,0.622098387193739,1.0,
full,encode_large_utf8,step2,687.6381602559483,666.713890181929,712.7590362812126,653.0428309785452,0.5671522851291104,0.9116761862822241,
full,encode_metadata_json,baseline,110.70362634474377,106.07391840314384,116.60455614148088,105.00833828333828,1.0,1.5606959580031041,
full,encode_metadata_json,step1,70.93221826907786,66.6641585240879,75.39908285045743,70.09689908083146,0.6407397897534703,1.0,
full,encode_metadata_json,step2,70.83204988293976,66.67348028850714,75.30953684882859,69.91039710506541,0.6398349559242138,0.9985878295000147,
full,encode_small_json,baseline,82.43218247756865,81.27496266281747,83.90336391688814,81.8586335016694,1.0,5.4659498298656946,
full,encode_small_json,step1,15.081035326589177,14.431003248787393,15.878057847278898,14.327927197036747,0.18295081936830937,1.0,
full,encode_small_json,step2,14.718978996913112,14.156657630910304,15.391983633755713,13.990800396786312,0.17855864729674512,0.9759926078126925,
full,json_crlf_tcp,baseline,2061445.0374999996,1972940.8424999996,2169387.70275,1930292.3,1.0,1.0011617233818273,0.9887339509645928
full,json_crlf_tcp,core,2084934.00625,2082132.03546875,2088364.655234375,2083143.8125,1.0113944191199424,1.0125693796648836,1.0
full,json_crlf_tcp,step1,2059052.9874999996,1980943.6363124992,2154616.1531875,1941221.4500000002,0.9988396246533446,1.0,0.9875866484634923
full,json_crlf_tcp,step2,2553673.803125,2120492.199296875,3207531.050234375,2026863.625,1.2387785056942129,1.2402176236491829,1.2248223663050535
full,json_line_tcp,baseline,1035771.0512551073,1010762.772119264,1064723.3433056795,995150.6325925926,1.0,0.9476977123124929,1.3850211904161123
full,json_line_tcp,core,747837.6926088205,745554.4761086862,750829.9793225591,746002.271875,0.7220106139311576,0.6842478070878966,1.0
full,json_line_tcp,step1,1092933.9997325784,1053610.425587266,1138271.095418935,1014047.9022435897,1.0551887875300272,1.0,1.4614588306185727
full,json_line_tcp,step2,1042155.6607344095,1027995.4515827049,1059250.739347913,1021071.8489583333,1.0061641126883838,0.9535394278057105,1.3935586171096366
full,json_metadata_after_tcp,baseline,1599645.0472472704,1516762.108637301,1695299.5339430033,1426223.4436363636,1.0,1.0913064648095527,1.057263695510115
full,json_metadata_after_tcp,core,1513004.8010165184,1477849.2388360975,1566187.5460041126,1473542.3055555555,0.9458378304738005,1.0321989390575004,1.0
full,json_metadata_after_tcp,step1,1465807.3591879888,1437787.0308650716,1505036.5914680886,1433894.7805555556,0.9163328837921922,1.0,0.9688054910355739
full,json_metadata_after_tcp,step2,1565640.374558698,1511595.8552371098,1629169.6008465828,1476425.933908046,0.9787423636593074,1.0681078688443846,1.0347887683547443
full,keepalive_4b_chunks,baseline,11861826.075,11755668.276250001,11988941.238125,11772796.0,1.0,0.9908157728389475,0.9272211715572196
full,keepalive_4b_chunks,core,12792876.65,12654710.801874999,12967987.1525,12610129.5,1.0784913359134716,1.0685862264932153,1.0
full,keepalive_4b_chunks,step1,11971777.6,11795537.1,12203778.776562499,11826887.25,1.0092693590602997,1.0,0.9358159175246952
full,keepalive_4b_chunks,step2,12200429.2125,12073114.63,12345808.3846875,12201617.25,1.028545616447171,1.0190992198602153,0.9536892714821885
