mode,scenario,variant,round,iterations,total_ns,ns_per_iteration,events
bytes_tokio,small_data_whole_stream_chunk,data_only,13,1,3826249,3826249,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,13,1,4008826,4008826,100000
bytes_tokio,small_data_whole_stream_chunk,step2,13,1,4038426,4038426,100000
bytes_tokio,small_data_whole_stream_chunk,step1,14,1,3730581,3730581,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,14,1,3743075,3743075,100000
bytes_tokio,small_data_whole_stream_chunk,cold_copy,14,1,3896797,3896797,100000
bytes_tokio,small_data_whole_stream_chunk,data_only,14,1,3806627,3806627,100000
bytes_tokio,small_data_whole_stream_chunk,step2,14,1,3832577,3832577,100000
bytes_tokio,small_data_whole_stream_chunk,step1,15,1,3692181,3692181,100000
bytes_tokio,small_data_whole_stream_chunk,step2,15,1,3814965,3814965,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,15,1,3742261,3742261,100000
bytes_tokio,small_data_whole_stream_chunk,cold_copy,15,1,3872918,3872918,100000
bytes_tokio,small_data_whole_stream_chunk,data_only,15,1,4414346,4414346,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,16,1,3981740,3981740,100000
bytes_tokio,small_data_whole_stream_chunk,step1,16,1,3681195,3681195,100000
bytes_tokio,small_data_whole_stream_chunk,cold_copy,16,1,3846955,3846955,100000
bytes_tokio,small_data_whole_stream_chunk,data_only,16,1,3832885,3832885,100000
bytes_tokio,small_data_whole_stream_chunk,step2,16,1,3845175,3845175,100000
bytes_tokio,small_data_whole_stream_chunk,step1,17,1,3670742,3670742,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,17,1,3739830,3739830,100000
bytes_tokio,small_data_whole_stream_chunk,step2,17,1,3830285,3830285,100000
bytes_tokio,small_data_whole_stream_chunk,cold_copy,17,1,3800722,3800722,100000
bytes_tokio,small_data_whole_stream_chunk,data_only,17,1,3810016,3810016,100000
bytes_tokio,small_data_whole_stream_chunk,step1,18,1,3693387,3693387,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,18,1,3776648,3776648,100000
bytes_tokio,small_data_whole_stream_chunk,cold_copy,18,1,3787920,3787920,100000
bytes_tokio,small_data_whole_stream_chunk,step2,18,1,3851684,3851684,100000
bytes_tokio,small_data_whole_stream_chunk,data_only,18,1,3805254,3805254,100000
bytes_tokio,small_data_whole_stream_chunk,step2,19,1,3808036,3808036,100000
bytes_tokio,small_data_whole_stream_chunk,step1,19,1,3691184,3691184,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,19,1,3756056,3756056,100000
bytes_tokio,small_data_whole_stream_chunk,data_only,19,1,3821964,3821964,100000
bytes_tokio,small_data_whole_stream_chunk,cold_copy,19,1,3759744,3759744,100000
bytes_tokio,small_data_whole_stream_chunk,cold_copy,20,1,3834060,3834060,100000
bytes_tokio,small_data_whole_stream_chunk,step1,20,1,3752101,3752101,100000
bytes_tokio,small_data_whole_stream_chunk,step2,20,1,3814309,3814309,100000
bytes_tokio,small_data_whole_stream_chunk,data_only,20,1,3861996,3861996,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,20,1,3718266,3718266,100000
bytes_tokio,small_data_whole_stream_chunk,step1,21,1,3704781,3704781,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,21,1,3727696,3727696,100000
bytes_tokio,small_data_whole_stream_chunk,step2,21,1,4006555,4006555,100000
bytes_tokio,small_data_whole_stream_chunk,data_only,21,1,3941653,3941653,100000
bytes_tokio,small_data_whole_stream_chunk,cold_copy,21,1,4729860,4729860,100000
bytes_tokio,small_data_whole_stream_chunk,data_only,22,1,4599014,4599014,100000
bytes_tokio,small_data_whole_stream_chunk,step2,22,1,4684926,4684926,100000
bytes_tokio,small_data_whole_stream_chunk,step1,22,1,4468692,4468692,100000
bytes_tokio,small_data_whole_stream_chunk,cold_copy,22,1,4477368,4477368,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,22,1,4612072,4612072,100000
bytes_tokio,small_data_whole_stream_chunk,step1,23,1,4331804,4331804,100000
bytes_tokio,small_data_whole_stream_chunk,data_only,23,1,4421436,4421436,100000
bytes_tokio,small_data_whole_stream_chunk,cold_copy,23,1,4924720,4924720,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,23,1,4727640,4727640,100000
bytes_tokio,small_data_whole_stream_chunk,step2,23,1,4631455,4631455,100000
bytes_tokio,small_data_whole_stream_chunk,data_only,24,1,4650733,4650733,100000
bytes_tokio,small_data_whole_stream_chunk,step1,24,1,4463214,4463214,100000
bytes_tokio,small_data_whole_stream_chunk,step2,24,1,4619440,4619440,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,24,1,4608436,4608436,100000
bytes_tokio,small_data_whole_stream_chunk,cold_copy,24,1,4453787,4453787,100000
bytes_tokio,small_data_whole_stream_chunk,step2,25,1,4725880,4725880,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,25,1,4331657,4331657,100000
bytes_tokio,small_data_whole_stream_chunk,step1,25,1,4356848,4356848,100000
bytes_tokio,small_data_whole_stream_chunk,cold_copy,25,1,4611789,4611789,100000
bytes_tokio,small_data_whole_stream_chunk,data_only,25,1,4438941,4438941,100000
bytes_tokio,small_data_whole_stream_chunk,step1,26,1,4328033,4328033,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,26,1,4049664,4049664,100000
bytes_tokio,small_data_whole_stream_chunk,step2,26,1,3876505,3876505,100000
bytes_tokio,small_data_whole_stream_chunk,cold_copy,26,1,3851644,3851644,100000
bytes_tokio,small_data_whole_stream_chunk,data_only,26,1,3817033,3817033,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,27,1,3757743,3757743,100000
bytes_tokio,small_data_whole_stream_chunk,cold_copy,27,1,3793893,3793893,100000
bytes_tokio,small_data_whole_stream_chunk,step1,27,1,3874035,3874035,100000
bytes_tokio,small_data_whole_stream_chunk,step2,27,1,3926541,3926541,100000
bytes_tokio,small_data_whole_stream_chunk,data_only,27,1,4321490,4321490,100000
bytes_tokio,small_data_whole_stream_chunk,data_only,28,1,3919349,3919349,100000
bytes_tokio,small_data_whole_stream_chunk,cold_copy,28,1,3844353,3844353,100000
bytes_tokio,small_data_whole_stream_chunk,step1,28,1,3738179,3738179,100000
bytes_tokio,small_data_whole_stream_chunk,step2,28,1,3838592,3838592,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,28,1,3793304,3793304,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,29,1,3903992,3903992,100000
bytes_tokio,small_data_whole_stream_chunk,step2,29,1,3814544,3814544,100000
bytes_tokio,small_data_whole_stream_chunk,cold_copy,29,1,3870015,3870015,100000
bytes_tokio,small_data_whole_stream_chunk,step1,29,1,3749885,3749885,100000
bytes_tokio,small_data_whole_stream_chunk,data_only,29,1,3861410,3861410,100000
bytes_tokio,small_data_whole_stream_chunk,data_only,30,1,3852956,3852956,100000
bytes_tokio,small_data_whole_stream_chunk,step1,30,1,3707321,3707321,100000
bytes_tokio,small_data_whole_stream_chunk,cold_copy,30,1,3807966,3807966,100000
bytes_tokio,small_data_whole_stream_chunk,step2,30,1,3827065,3827065,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,30,1,3733883,3733883,100000
bytes_tokio,small_data_tcp_chunks,data_only,0,1,3853080,3853080,100000
bytes_tokio,small_data_tcp_chunks,step2,0,1,3873201,3873201,100000
bytes_tokio,small_data_tcp_chunks,step1,0,1,3718639,3718639,100000
bytes_tokio,small_data_tcp_chunks,baseline,0,1,3811996,3811996,100000
bytes_tokio,small_data_tcp_chunks,cold_copy,0,1,3860128,3860128,100000
bytes_tokio,small_data_tcp_chunks,step2,1,1,3847455,3847455,100000
bytes_tokio,small_data_tcp_chunks,step1,1,1,3706401,3706401,100000
bytes_tokio,small_data_tcp_chunks,data_only,1,1,3858773,3858773,100000
bytes_tokio,small_data_tcp_chunks,cold_copy,1,1,3839645,3839645,100000
bytes_tokio,small_data_tcp_chunks,baseline,1,1,3774317,3774317,100000
bytes_tokio,small_data_tcp_chunks,cold_copy,2,1,3835254,3835254,100000
bytes_tokio,small_data_tcp_chunks,data_only,2,1,3841458,3841458,100000
bytes_tokio,small_data_tcp_chunks,step1,2,1,3699650,3699650,100000
bytes_tokio,small_data_tcp_chunks,baseline,2,1,3784730,3784730,100000
bytes_tokio,small_data_tcp_chunks,step2,2,1,3847020,3847020,100000
bytes_tokio,small_data_tcp_chunks,baseline,3,1,3782553,3782553,100000
bytes_tokio,small_data_tcp_chunks,step2,3,1,3860706,3860706,100000
bytes_tokio,small_data_tcp_chunks,cold_copy,3,1,3845124,3845124,100000
bytes_tokio,small_data_tcp_chunks,data_only,3,1,3876114,3876114,100000
bytes_tokio,small_data_tcp_chunks,step1,3,1,3700330,3700330,100000
bytes_tokio,small_data_tcp_chunks,step1,4,1,3707696,3707696,100000
bytes_tokio,small_data_tcp_chunks,data_only,4,1,3852140,3852140,100000
bytes_tokio,small_data_tcp_chunks,baseline,4,1,3774433,3774433,100000
bytes_tokio,small_data_tcp_chunks,cold_copy,4,1,3843193,3843193,100000
bytes_tokio,small_data_tcp_chunks,step2,4,1,3864277,3864277,100000
bytes_tokio,small_data_tcp_chunks,baseline,5,1,3767278,3767278,100000
bytes_tokio,small_data_tcp_chunks,data_only,5,1,3889176,3889176,100000
bytes_tokio,small_data_tcp_chunks,step1,5,1,3699284,3699284,100000
bytes_tokio,small_data_tcp_chunks,cold_copy,5,1,3824392,3824392,100000
bytes_tokio,small_data_tcp_chunks,step2,5,1,3819448,3819448,100000
bytes_tokio,small_data_tcp_chunks,step1,6,1,3724309,3724309,100000
bytes_tokio,small_data_tcp_chunks,baseline,6,1,3792283,3792283,100000
bytes_tokio,small_data_tcp_chunks,step2,6,1,3851038,3851038,100000
bytes_tokio,small_data_tcp_chunks,data_only,6,1,3867475,3867475,100000
bytes_tokio,small_data_tcp_chunks,cold_copy,6,1,3826267,3826267,100000
bytes_tokio,small_data_tcp_chunks,cold_copy,7,1,3843814,3843814,100000
bytes_tokio,small_data_tcp_chunks,baseline,7,1,3800322,3800322,100000
bytes_tokio,small_data_tcp_chunks,step1,7,1,3720584,3720584,100000
bytes_tokio,small_data_tcp_chunks,data_only,7,1,3872121,3872121,100000
bytes_tokio,small_data_tcp_chunks,step2,7,1,3860323,3860323,100000
bytes_tokio,small_data_tcp_chunks,step2,8,1,3843479,3843479,100000
bytes_tokio,small_data_tcp_chunks,data_only,8,1,3881493,3881493,100000
bytes_tokio,small_data_tcp_chunks,baseline,8,1,3790086,3790086,100000
bytes_tokio,small_data_tcp_chunks,cold_copy,8,1,3848230,3848230,100000
bytes_tokio,small_data_tcp_chunks,step1,8,1,3699667,3699667,100000
bytes_tokio,small_data_tcp_chunks,step2,9,1,3840164,3840164,100000
bytes_tokio,small_data_tcp_chunks,baseline,9,1,3763338,3763338,100000
bytes_tokio,small_data_tcp_chunks,data_only,9,1,3891806,3891806,100000
bytes_tokio,small_data_tcp_chunks,cold_copy,9,1,3895518,3895518,100000
bytes_tokio,small_data_tcp_chunks,step1,9,1,3756500,3756500,100000
bytes_tokio,small_data_tcp_chunks,step1,10,1,3746424,3746424,100000
bytes_tokio,small_data_tcp_chunks,data_only,10,1,3872637,3872637,100000
bytes_tokio,small_data_tcp_chunks,baseline,10,1,3771513,3771513,100000
bytes_tokio,small_data_tcp_chunks,step2,10,1,3856446,3856446,100000
bytes_tokio,small_data_tcp_chunks,cold_copy,10,1,3834335,3834335,100000
bytes_tokio,small_data_tcp_chunks,step2,11,1,3850155,3850155,100000
bytes_tokio,small_data_tcp_chunks,baseline,11,1,3748703,3748703,100000
bytes_tokio,small_data_tcp_chunks,step1,11,1,3721461,3721461,100000
bytes_tokio,small_data_tcp_chunks,data_only,11,1,3875376,3875376,100000
bytes_tokio,small_data_tcp_chunks,cold_copy,11,1,3825921,3825921,100000
bytes_tokio,small_data_tcp_chunks,step1,12,1,3727270,3727270,100000
bytes_tokio,small_data_tcp_chunks,cold_copy,12,1,3865499,3865499,100000
bytes_tokio,small_data_tcp_chunks,step2,12,1,3874171,3874171,100000
bytes_tokio,small_data_tcp_chunks,baseline,12,1,3763726,3763726,100000
