mode,scenario,variant,round,iterations,total_ns,ns_per_iteration,events
borrowed_ready,small_data_4b_chunks,step2,18,1,5098005,5098005,100000
borrowed_ready,small_data_4b_chunks,baseline,18,1,4999277,4999277,100000
borrowed_ready,small_data_4b_chunks,step1,19,1,5142858,5142858,100000
borrowed_ready,small_data_4b_chunks,baseline,19,1,5058315,5058315,100000
borrowed_ready,small_data_4b_chunks,step2,19,1,5043394,5043394,100000
borrowed_ready,small_data_4b_chunks,core,19,1,6029378,6029378,100000
borrowed_ready,small_data_4b_chunks,step1,20,1,5203632,5203632,100000
borrowed_ready,small_data_4b_chunks,core,20,1,5998765,5998765,100000
borrowed_ready,small_data_4b_chunks,baseline,20,1,5010283,5010283,100000
borrowed_ready,small_data_4b_chunks,step2,20,1,5068775,5068775,100000
borrowed_ready,small_data_4b_chunks,baseline,21,1,5008582,5008582,100000
borrowed_ready,small_data_4b_chunks,step1,21,1,5183769,5183769,100000
borrowed_ready,small_data_4b_chunks,core,21,1,5976668,5976668,100000
borrowed_ready,small_data_4b_chunks,step2,21,1,5065681,5065681,100000
borrowed_ready,small_data_4b_chunks,core,22,1,6058442,6058442,100000
borrowed_ready,small_data_4b_chunks,step1,22,1,5361131,5361131,100000
borrowed_ready,small_data_4b_chunks,step2,22,1,5132447,5132447,100000
borrowed_ready,small_data_4b_chunks,baseline,22,1,5045321,5045321,100000
borrowed_ready,small_data_4b_chunks,step1,23,1,5206343,5206343,100000
borrowed_ready,small_data_4b_chunks,baseline,23,1,5038055,5038055,100000
borrowed_ready,small_data_4b_chunks,step2,23,1,5049345,5049345,100000
borrowed_ready,small_data_4b_chunks,core,23,1,6031090,6031090,100000
borrowed_ready,small_data_4b_chunks,baseline,24,1,4997466,4997466,100000
borrowed_ready,small_data_4b_chunks,step2,24,1,5056660,5056660,100000
borrowed_ready,small_data_4b_chunks,step1,24,1,5174768,5174768,100000
borrowed_ready,small_data_4b_chunks,core,24,1,6071870,6071870,100000
borrowed_ready,small_data_4b_chunks,core,25,1,5946033,5946033,100000
borrowed_ready,small_data_4b_chunks,step1,25,1,5197953,5197953,100000
borrowed_ready,small_data_4b_chunks,baseline,25,1,5079233,5079233,100000
borrowed_ready,small_data_4b_chunks,step2,25,1,5085918,5085918,100000
borrowed_ready,small_data_4b_chunks,core,26,1,6164490,6164490,100000
borrowed_ready,small_data_4b_chunks,step2,26,1,5077768,5077768,100000
borrowed_ready,small_data_4b_chunks,step1,26,1,5169216,5169216,100000
borrowed_ready,small_data_4b_chunks,baseline,26,1,4993396,4993396,100000
borrowed_ready,small_data_4b_chunks,baseline,27,1,4981156,4981156,100000
borrowed_ready,small_data_4b_chunks,step1,27,1,5185650,5185650,100000
borrowed_ready,small_data_4b_chunks,step2,27,1,5040835,5040835,100000
borrowed_ready,small_data_4b_chunks,core,27,1,5960556,5960556,100000
borrowed_ready,small_data_4b_chunks,step2,28,1,5066100,5066100,100000
borrowed_ready,small_data_4b_chunks,step1,28,1,5200540,5200540,100000
borrowed_ready,small_data_4b_chunks,core,28,1,6003108,6003108,100000
borrowed_ready,small_data_4b_chunks,baseline,28,1,5030707,5030707,100000
borrowed_ready,small_data_4b_chunks,step1,29,1,5226305,5226305,100000
borrowed_ready,small_data_4b_chunks,baseline,29,1,4984120,4984120,100000
borrowed_ready,small_data_4b_chunks,core,29,1,5937214,5937214,100000
borrowed_ready,small_data_4b_chunks,step2,29,1,5076178,5076178,100000
borrowed_ready,small_data_4b_chunks,step1,30,1,5225436,5225436,100000
borrowed_ready,small_data_4b_chunks,step2,30,1,5109564,5109564,100000
borrowed_ready,small_data_4b_chunks,baseline,30,1,5014114,5014114,100000
borrowed_ready,small_data_4b_chunks,core,30,1,6140212,6140212,100000
borrowed_ready,metadata_events_tcp_chunks,baseline,0,1,4740554,4740554,50000
borrowed_ready,metadata_events_tcp_chunks,step2,0,1,4935253,4935253,50000
borrowed_ready,metadata_events_tcp_chunks,step1,0,1,4877211,4877211,50000
borrowed_ready,metadata_events_tcp_chunks,core,0,1,5416913,5416913,50000
borrowed_ready,metadata_events_tcp_chunks,step2,1,1,5329219,5329219,50000
borrowed_ready,metadata_events_tcp_chunks,baseline,1,1,4937195,4937195,50000
borrowed_ready,metadata_events_tcp_chunks,core,1,1,5523831,5523831,50000
borrowed_ready,metadata_events_tcp_chunks,step1,1,1,5143773,5143773,50000
borrowed_ready,metadata_events_tcp_chunks,step1,2,1,4920565,4920565,50000
borrowed_ready,metadata_events_tcp_chunks,baseline,2,1,5113743,5113743,50000
borrowed_ready,metadata_events_tcp_chunks,core,2,1,5560036,5560036,50000
borrowed_ready,metadata_events_tcp_chunks,step2,2,1,5220799,5220799,50000
borrowed_ready,metadata_events_tcp_chunks,step2,3,1,4962561,4962561,50000
borrowed_ready,metadata_events_tcp_chunks,core,3,1,5712546,5712546,50000
borrowed_ready,metadata_events_tcp_chunks,step1,3,1,5163496,5163496,50000
borrowed_ready,metadata_events_tcp_chunks,baseline,3,1,4347020,4347020,50000
borrowed_ready,metadata_events_tcp_chunks,baseline,4,1,4025862,4025862,50000
borrowed_ready,metadata_events_tcp_chunks,core,4,1,4505114,4505114,50000
borrowed_ready,metadata_events_tcp_chunks,step1,4,1,4337880,4337880,50000
borrowed_ready,metadata_events_tcp_chunks,step2,4,1,4111740,4111740,50000
borrowed_ready,metadata_events_tcp_chunks,core,5,1,4576000,4576000,50000
borrowed_ready,metadata_events_tcp_chunks,baseline,5,1,4022575,4022575,50000
borrowed_ready,metadata_events_tcp_chunks,step2,5,1,4063381,4063381,50000
borrowed_ready,metadata_events_tcp_chunks,step1,5,1,4207336,4207336,50000
borrowed_ready,metadata_events_tcp_chunks,step1,6,1,4480731,4480731,50000
borrowed_ready,metadata_events_tcp_chunks,baseline,6,1,4251794,4251794,50000
borrowed_ready,metadata_events_tcp_chunks,step2,6,1,4188835,4188835,50000
borrowed_ready,metadata_events_tcp_chunks,core,6,1,4546091,4546091,50000
borrowed_ready,metadata_events_tcp_chunks,baseline,7,1,4039231,4039231,50000
borrowed_ready,metadata_events_tcp_chunks,core,7,1,4449328,4449328,50000
borrowed_ready,metadata_events_tcp_chunks,step1,7,1,4122745,4122745,50000
borrowed_ready,metadata_events_tcp_chunks,step2,7,1,4095360,4095360,50000
borrowed_ready,metadata_events_tcp_chunks,baseline,8,1,3990518,3990518,50000
borrowed_ready,metadata_events_tcp_chunks,step2,8,1,4073190,4073190,50000
borrowed_ready,metadata_events_tcp_chunks,core,8,1,4509942,4509942,50000
borrowed_ready,metadata_events_tcp_chunks,step1,8,1,4174798,4174798,50000
borrowed_ready,metadata_events_tcp_chunks,core,9,1,4508324,4508324,50000
borrowed_ready,metadata_events_tcp_chunks,step1,9,1,4182955,4182955,50000
borrowed_ready,metadata_events_tcp_chunks,baseline,9,1,4098369,4098369,50000
borrowed_ready,metadata_events_tcp_chunks,step2,9,1,4105285,4105285,50000
borrowed_ready,metadata_events_tcp_chunks,step1,10,1,4167699,4167699,50000
borrowed_ready,metadata_events_tcp_chunks,step2,10,1,4065046,4065046,50000
borrowed_ready,metadata_events_tcp_chunks,core,10,1,4522909,4522909,50000
borrowed_ready,metadata_events_tcp_chunks,baseline,10,1,3976829,3976829,50000
borrowed_ready,metadata_events_tcp_chunks,step2,11,1,4073293,4073293,50000
borrowed_ready,metadata_events_tcp_chunks,core,11,1,4468777,4468777,50000
borrowed_ready,metadata_events_tcp_chunks,baseline,11,1,3990321,3990321,50000
borrowed_ready,metadata_events_tcp_chunks,step1,11,1,4198796,4198796,50000
borrowed_ready,metadata_events_tcp_chunks,step1,12,1,4139477,4139477,50000
borrowed_ready,metadata_events_tcp_chunks,step2,12,1,4042911,4042911,50000
borrowed_ready,metadata_events_tcp_chunks,core,12,1,4440469,4440469,50000
borrowed_ready,metadata_events_tcp_chunks,baseline,12,1,3970160,3970160,50000
borrowed_ready,metadata_events_tcp_chunks,step2,13,1,4059926,4059926,50000
borrowed_ready,metadata_events_tcp_chunks,core,13,1,4503724,4503724,50000
borrowed_ready,metadata_events_tcp_chunks,step1,13,1,4228554,4228554,50000
borrowed_ready,metadata_events_tcp_chunks,baseline,13,1,4146528,4146528,50000
borrowed_ready,metadata_events_tcp_chunks,step2,14,1,4179210,4179210,50000
borrowed_ready,metadata_events_tcp_chunks,core,14,1,4569467,4569467,50000
borrowed_ready,metadata_events_tcp_chunks,baseline,14,1,4036645,4036645,50000
borrowed_ready,metadata_events_tcp_chunks,step1,14,1,4168019,4168019,50000
