mode,scenario,variant,round,iterations,total_ns,ns_per_iteration,events
bytes_tokio,small_data_whole_stream_chunk,core,23,1,3005667,3005667,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,23,1,3655721,3655721,100000
bytes_tokio,small_data_whole_stream_chunk,step1,23,1,3623016,3623016,100000
bytes_tokio,small_data_whole_stream_chunk,core,24,1,3089318,3089318,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,24,1,3657955,3657955,100000
bytes_tokio,small_data_whole_stream_chunk,step1,24,1,3639957,3639957,100000
bytes_tokio,small_data_whole_stream_chunk,step1,25,1,3652585,3652585,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,25,1,3683545,3683545,100000
bytes_tokio,small_data_whole_stream_chunk,core,25,1,2938837,2938837,100000
bytes_tokio,small_data_whole_stream_chunk,core,26,1,2973392,2973392,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,26,1,3679301,3679301,100000
bytes_tokio,small_data_whole_stream_chunk,step1,26,1,3617907,3617907,100000
bytes_tokio,small_data_whole_stream_chunk,step1,27,1,3659346,3659346,100000
bytes_tokio,small_data_whole_stream_chunk,core,27,1,3054722,3054722,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,27,1,3677159,3677159,100000
bytes_tokio,small_data_whole_stream_chunk,core,28,1,3038706,3038706,100000
bytes_tokio,small_data_whole_stream_chunk,step1,28,1,3692251,3692251,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,28,1,3637775,3637775,100000
bytes_tokio,small_data_whole_stream_chunk,step1,29,1,3673398,3673398,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,29,1,3728495,3728495,100000
bytes_tokio,small_data_whole_stream_chunk,core,29,1,3004087,3004087,100000
bytes_tokio,small_data_whole_stream_chunk,core,30,1,2921010,2921010,100000
bytes_tokio,small_data_whole_stream_chunk,step1,30,1,3625099,3625099,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,30,1,3699949,3699949,100000
bytes_tokio,small_data_tcp_chunks,step1,0,1,3717056,3717056,100000
bytes_tokio,small_data_tcp_chunks,core,0,1,2962719,2962719,100000
bytes_tokio,small_data_tcp_chunks,baseline,0,1,3705467,3705467,100000
