mode,scenario,variant,round,iterations,total_ns,ns_per_iteration,events
bytes_tokio,small_data_whole_stream_chunk,step2,0,1,3777629,3777629,100000
bytes_tokio,small_data_whole_stream_chunk,step1,0,1,3675994,3675994,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,0,1,3663768,3663768,100000
bytes_tokio,small_data_whole_stream_chunk,original,0,1,3758768,3758768,100000
bytes_tokio,small_data_whole_stream_chunk,core,0,1,3038151,3038151,100000
bytes_tokio,small_data_whole_stream_chunk,step1,1,1,3681276,3681276,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,1,1,3680522,3680522,100000
bytes_tokio,small_data_whole_stream_chunk,step2,1,1,3797785,3797785,100000
bytes_tokio,small_data_whole_stream_chunk,core,1,1,3070966,3070966,100000
bytes_tokio,small_data_whole_stream_chunk,original,1,1,3687562,3687562,100000
bytes_tokio,small_data_whole_stream_chunk,core,2,1,3051212,3051212,100000
bytes_tokio,small_data_whole_stream_chunk,step2,2,1,3780935,3780935,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,2,1,3739615,3739615,100000
bytes_tokio,small_data_whole_stream_chunk,original,2,1,3677464,3677464,100000
bytes_tokio,small_data_whole_stream_chunk,step1,2,1,3718667,3718667,100000
bytes_tokio,small_data_whole_stream_chunk,original,3,1,3783557,3783557,100000
bytes_tokio,small_data_whole_stream_chunk,step1,3,1,3671339,3671339,100000
bytes_tokio,small_data_whole_stream_chunk,core,3,1,3161314,3161314,100000
bytes_tokio,small_data_whole_stream_chunk,step2,3,1,3794995,3794995,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,3,1,3653832,3653832,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,4,1,3649135,3649135,100000
bytes_tokio,small_data_whole_stream_chunk,step2,4,1,3830262,3830262,100000
bytes_tokio,small_data_whole_stream_chunk,original,4,1,3718820,3718820,100000
bytes_tokio,small_data_whole_stream_chunk,core,4,1,3180663,3180663,100000
bytes_tokio,small_data_whole_stream_chunk,step1,4,1,3713487,3713487,100000
bytes_tokio,small_data_whole_stream_chunk,original,5,1,4104584,4104584,100000
bytes_tokio,small_data_whole_stream_chunk,step2,5,1,4494175,4494175,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,5,1,4387863,4387863,100000
bytes_tokio,small_data_whole_stream_chunk,core,5,1,4072772,4072772,100000
bytes_tokio,small_data_whole_stream_chunk,step1,5,1,4228301,4228301,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,6,1,4397945,4397945,100000
bytes_tokio,small_data_whole_stream_chunk,original,6,1,4642371,4642371,100000
bytes_tokio,small_data_whole_stream_chunk,step1,6,1,4334377,4334377,100000
bytes_tokio,small_data_whole_stream_chunk,step2,6,1,4424917,4424917,100000
bytes_tokio,small_data_whole_stream_chunk,core,6,1,3734041,3734041,100000
bytes_tokio,small_data_whole_stream_chunk,core,7,1,4261568,4261568,100000
bytes_tokio,small_data_whole_stream_chunk,original,7,1,4525486,4525486,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,7,1,4440920,4440920,100000
bytes_tokio,small_data_whole_stream_chunk,step2,7,1,4490020,4490020,100000
bytes_tokio,small_data_whole_stream_chunk,step1,7,1,4606594,4606594,100000
bytes_tokio,small_data_whole_stream_chunk,step1,8,1,4286215,4286215,100000
bytes_tokio,small_data_whole_stream_chunk,step2,8,1,4463650,4463650,100000
bytes_tokio,small_data_whole_stream_chunk,original,8,1,4101041,4101041,100000
bytes_tokio,small_data_whole_stream_chunk,core,8,1,3955320,3955320,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,8,1,4273190,4273190,100000
bytes_tokio,small_data_whole_stream_chunk,step1,9,1,4563948,4563948,100000
bytes_tokio,small_data_whole_stream_chunk,original,9,1,4282614,4282614,100000
bytes_tokio,small_data_whole_stream_chunk,step2,9,1,4276077,4276077,100000
bytes_tokio,small_data_whole_stream_chunk,core,9,1,3405738,3405738,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,9,1,3842906,3842906,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,10,1,3878249,3878249,100000
bytes_tokio,small_data_whole_stream_chunk,step2,10,1,3823869,3823869,100000
bytes_tokio,small_data_whole_stream_chunk,original,10,1,3860945,3860945,100000
bytes_tokio,small_data_whole_stream_chunk,step1,10,1,3952316,3952316,100000
bytes_tokio,small_data_whole_stream_chunk,core,10,1,3156759,3156759,100000
bytes_tokio,small_data_whole_stream_chunk,step1,11,1,3836204,3836204,100000
bytes_tokio,small_data_whole_stream_chunk,original,11,1,3867834,3867834,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,11,1,3870556,3870556,100000
bytes_tokio,small_data_whole_stream_chunk,step2,11,1,4048549,4048549,100000
bytes_tokio,small_data_whole_stream_chunk,core,11,1,3314391,3314391,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,12,1,3694018,3694018,100000
bytes_tokio,small_data_whole_stream_chunk,core,12,1,2984257,2984257,100000
bytes_tokio,small_data_whole_stream_chunk,step1,12,1,3685376,3685376,100000
bytes_tokio,small_data_whole_stream_chunk,original,12,1,3869397,3869397,100000
bytes_tokio,small_data_whole_stream_chunk,step2,12,1,3775601,3775601,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,13,1,3681413,3681413,100000
bytes_tokio,small_data_whole_stream_chunk,core,13,1,3096821,3096821,100000
bytes_tokio,small_data_whole_stream_chunk,step2,13,1,3786779,3786779,100000
bytes_tokio,small_data_whole_stream_chunk,original,13,1,3676758,3676758,100000
bytes_tokio,small_data_whole_stream_chunk,step1,13,1,3703658,3703658,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,14,1,3690299,3690299,100000
bytes_tokio,small_data_whole_stream_chunk,original,14,1,3723185,3723185,100000
bytes_tokio,small_data_whole_stream_chunk,core,14,1,3052296,3052296,100000
bytes_tokio,small_data_whole_stream_chunk,step2,14,1,3764125,3764125,100000
bytes_tokio,small_data_whole_stream_chunk,step1,14,1,3711212,3711212,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,15,1,3733427,3733427,100000
bytes_tokio,small_data_whole_stream_chunk,step1,15,1,3685988,3685988,100000
bytes_tokio,small_data_whole_stream_chunk,original,15,1,3721724,3721724,100000
bytes_tokio,small_data_whole_stream_chunk,core,15,1,3077533,3077533,100000
bytes_tokio,small_data_whole_stream_chunk,step2,15,1,4004850,4004850,100000
bytes_tokio,small_data_whole_stream_chunk,original,16,1,3736896,3736896,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,16,1,3965782,3965782,100000
bytes_tokio,small_data_whole_stream_chunk,core,16,1,3045981,3045981,100000
bytes_tokio,small_data_whole_stream_chunk,step2,16,1,3894605,3894605,100000
bytes_tokio,small_data_whole_stream_chunk,step1,16,1,3714552,3714552,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,17,1,3711254,3711254,100000
bytes_tokio,small_data_whole_stream_chunk,original,17,1,3753002,3753002,100000
bytes_tokio,small_data_whole_stream_chunk,step1,17,1,3677823,3677823,100000
bytes_tokio,small_data_whole_stream_chunk,core,17,1,3019375,3019375,100000
bytes_tokio,small_data_whole_stream_chunk,step2,17,1,3762446,3762446,100000
