mode,scenario,variant,reference,ratio_median,ratio_p10,ratio_p90
borrowed_ready,keepalive_4b_chunks,core,baseline,1.503614452363463,1.412665588304085,1.5530807399379207
borrowed_ready,keepalive_4b_chunks,step1,baseline,1.2047551163489467,1.169952878633661,1.2425717750911278
borrowed_ready,keepalive_4b_chunks,step2,baseline,0.9822486626526256,0.9598354626565576,1.017508772385959
borrowed_ready,large_utf8_tcp,core,baseline,1.0014230340241912,0.9874443415318965,1.021929301696134
borrowed_ready,large_utf8_tcp,step1,baseline,0.2122548622097455,0.2072317707213579,0.2185328196845027
borrowed_ready,large_utf8_tcp,step2,baseline,0.21396264807267595,0.20858697939221085,0.21965036586861056
borrowed_ready,medium_data_10b_chunks,core,baseline,1.388309634807368,1.3321677685642226,1.4587092974804214
borrowed_ready,medium_data_10b_chunks,step1,baseline,0.9473158457093362,0.8801562514480599,0.9856559807069931
borrowed_ready,medium_data_10b_chunks,step2,baseline,1.0131656829701678,0.9756006051577151,1.048488828304491
borrowed_ready,metadata_events_tcp_chunks,core,baseline,1.1249510232753428,1.1000288163413299,1.142675096623728
borrowed_ready,metadata_events_tcp_chunks,step1,baseline,1.04593102676768,1.0206389419791142,1.0609114626795277
borrowed_ready,metadata_events_tcp_chunks,step2,baseline,1.0209349589918775,1.0033146129226094,1.0353176957597212
borrowed_ready,mixed_json_tcp,core,baseline,0.8909849073126104,0.864322897913396,0.9556323657902046
borrowed_ready,mixed_json_tcp,step1,baseline,1.0005790745934628,0.9656112025937323,1.0218116087074516
borrowed_ready,mixed_json_tcp,step2,baseline,0.7825870216333577,0.7352974524083461,0.8016322160937905
borrowed_ready,mixed_multiline_tcp,core,baseline,1.2016830104519338,1.1552349300430356,1.222040177674508
borrowed_ready,mixed_multiline_tcp,step1,baseline,0.9940286465423507,0.9634874853547588,1.0155184211669634
borrowed_ready,mixed_multiline_tcp,step2,baseline,0.8461015222978638,0.8043162199775095,0.8923247363426658
borrowed_ready,small_data_4b_chunks,core,baseline,1.1972906520450042,1.1813364460526214,1.224585639656378
borrowed_ready,small_data_4b_chunks,step1,baseline,1.0349773648509697,1.0239876547611166,1.047136285944248
borrowed_ready,small_data_4b_chunks,step2,baseline,1.0103532674428257,1.0016907580827827,1.0197484556266836
borrowed_ready,varied_sizes_tcp,core,baseline,0.9483541896690081,0.9348987803767366,0.9636500069111794
borrowed_ready,varied_sizes_tcp,step1,baseline,0.8602132150118089,0.8510161926056354,0.8692693324652547
borrowed_ready,varied_sizes_tcp,step2,baseline,0.9256187866712711,0.9121359594974964,0.9428879778126131
